OID_,TL_id,TL_Date,TL_Class,TL_Genet,TL_Cx,TL_Cy,TL_Area,TL_SurfA,TL_Perim,TL_Note,Morph_Code,Site,Quadrat,TimePt,Annotator,QC_Check,Shape_Leng,Shape_Area
37,62,5/18/2014,PMEA,62,9429.4,3341,2.18,0,5.8, ,KN,OCC-MAU-002,4,0,JC, ,0.05935294,0.00021768
38,63,5/18/2014,PLUT,63,4194.5,7643.8,197.02,0,103.5, ,MD,OCC-MAU-002,5,0,JC, ,1.052882744,0.020243905
39,64,5/18/2014,MOSP,64,4489.9,7851.1,30.09,0,34.6, ,EM,OCC-MAU-002,5,0,JC, ,0.352153806,0.00307334
40,65,5/18/2014,MOSP,65,4513.6,7785,6.3,0,10.2, ,EM,OCC-MAU-002,5,0,JC, ,0.103879638,0.000638885
41,67,5/18/2014,MOSP,67,4297.1,7818.5,349.44,0,215.2, ,EM,OCC-MAU-002,5,0,JC, ,2.187356561,0.03592288
42,68,5/18/2014,MOSP,68,4259.6,8109.4,199.49,0,116.6, ,EM,OCC-MAU-002,5,0,JC, ,1.185171987,0.02052976
43,66,5/18/2014,MOSP,66,4351.4,7973.2,62.15,0,46.9, ,EM,OCC-MAU-002,5,0,JC, ,0.477113628,0.00637415
44,69,5/18/2014,MOSP,69,4703.7,7773.4,359.62,0,178.2, ,EM,OCC-MAU-002,5,0,JC, ,1.811481446,0.03700102
45,70,5/18/2014,PLOB,70,4071.7,7993,8.46,0,15, ,MD,OCC-MAU-002,5,0,JC, ,0.152745493,0.00085765
46,71,5/18/2014,AGLO,71,5873,3385.9,478.96,0,109.3, ,BR,OCC-MAU-002,7,0,JC, ,1.110327503,0.04934288
47,73,5/18/2014,PMEA,73,5705.1,3664.6,334.92,0,113.3, ,BR,OCC-MAU-002,7,0,JC, ,1.150345558,0.034471635
48,74,5/18/2014,MOSP,74,5860.1,2325.8,26.07,0,28.9, ,EM,OCC-MAU-002,8,0,JC, ,0.293514758,0.0026662
49,75,5/18/2014,MOSP,75,5885.7,2332.9,1.39,0,4.5, ,EM,OCC-MAU-002,8,0,JC, ,0.045367792,0.00013797
50,76,5/18/2014,MOSP,76,5760.3,2369.2,70.13,0,54.8, ,EM,OCC-MAU-002,8,0,JC, ,0.557487417,0.007185875
51,77,5/18/2014,MOSP,77,7237.1,2655.3,51.95,0,35.6, ,EM,OCC-MAU-002,9,0,JC, ,0.362260281,0.00532788
52,78,5/18/2014,MOSP,78,7307,2652.5,7.74,0,11.8, ,EM,OCC-MAU-002,9,0,JC, ,0.120644952,0.000786465
53,79,5/18/2014,PMEA,79,7397.2,2928.6,64.11,0,38.1, ,BR,OCC-MAU-002,9,0,JC, ,0.387458343,0.006581155
54,80,5/18/2014,MOSP,80,7479.2,3041.6,45.07,0,41.1, ,EM,OCC-MAU-002,9,0,JC, ,0.418482034,0.004613425
55,81,5/18/2014,MOSP,81,7448.8,3127.7,1.96,0,5.3, ,EM,OCC-MAU-002,9,0,JC, ,0.053931912,0.00019659
56,82,5/18/2014,MOSP,82,7504.8,3144.8,5.58,0,9.4, ,EM,OCC-MAU-002,9,0,JC, ,0.095373225,0.0005656
57,84,5/18/2014,MOSP,84,7543.1,3218.8,5.87,0,9.6, ,EM,OCC-MAU-002,9,0,JC, ,0.097080813,0.00059627
58,85,5/18/2014,MOSP,85,7630.6,3161.9,78.29,0,78.7, ,EM,OCC-MAU-002,9,0,JC, ,0.798863902,0.00800187
59,86,5/18/2014,MOSP,86,7659,3067.2,60.35,0,64.7, ,EM,OCC-MAU-002,9,0,JC, ,0.657240065,0.006171705
60,87,5/18/2014,MOSP,87,7571.2,3079.4,5.04,0,10.2, ,EM,OCC-MAU-002,9,0,JC, ,0.10398501,0.000509815
61,88,5/18/2014,MOSP,88,7202.1,2984.6,19.23,0,18.6, ,EM,OCC-MAU-002,9,0,JC, ,0.189319993,0.001965975
62,89,5/18/2014,MOSP,89,7095.5,2969.4,9.46,0,15.4, ,EM,OCC-MAU-002,9,0,JC, ,0.157143887,0.00096159
63,90,5/18/2014,MOSP,90,7082.4,2923.4,2.11,0,6, ,EM,OCC-MAU-002,9,0,JC, ,0.061561571,0.000211015
64,91,5/18/2014,MOSP,91,7056.8,2936.1,4.75,0,10.6, ,EM,OCC-MAU-002,9,0,JC, ,0.107083227,0.00047861
65,92,5/18/2014,MOSP,92,7044.7,2819.2,91.44,0,72.2, ,EM,OCC-MAU-002,9,0,JC, ,0.734522492,0.00938632
66,93,5/18/2014,MOSP,93,6845.5,3053.9,1.68,0,5.8, ,EM,OCC-MAU-002,9,0,JC, ,0.058951206,0.000165715
67,94,5/18/2014,MOSP,94,6910.4,3024.6,28.27,0,36.3, ,EM,OCC-MAU-002,9,0,JC, ,0.368753919,0.00288383
68,95,5/18/2014,MOSP,95,6856.5,3103.5,14.69,0,19.6, ,EM,OCC-MAU-002,9,0,JC, ,0.200013909,0.00149816
69,96,5/18/2014,MOSP,96,6886.7,3104.9,2.56,0,7.6, ,EM,OCC-MAU-002,9,0,JC, ,0.076833261,0.00025559
70,97,5/18/2014,PMEA,97,7406.9,3326.6,15.62,0,15.9, ,BR,OCC-MAU-002,9,0,JC, ,0.162440331,0.00159624
71,98,5/18/2014,MOSP,98,7354,3372.3,31.21,0,27.9, ,EM,OCC-MAU-002,9,0,JC, ,0.283428924,0.00319564
72,99,5/18/2014,MOSP,99,7318,3415.5,2.27,0,6.4, ,EM,OCC-MAU-002,9,0,JC, ,0.065155432,0.00022586
73,100,5/18/2014,MOSP,100,7272.4,3408.8,8.51,0,13.8, ,EM,OCC-MAU-002,9,0,JC, ,0.139752755,0.00086389
74,101,5/18/2014,MOSP,101,7185.1,3503.5,222.91,0,187.7, ,EM,OCC-MAU-002,9,0,JC, ,1.907613306,0.022837955
75,83,5/18/2014,PLOB,83,5601.8,10201.6,1035.29,0,212.4, ,MD,OCC-MAU-002,10,0,JC, ,2.159293857,0.106708025
76,102,5/18/2014,PLOB,102,5410.9,10087.5,24.36,0,31.7, ,MD,OCC-MAU-002,10,0,JC, ,0.322344425,0.00248444
77,103,5/18/2014,PLOB,103,5373.3,10192.3,163.67,0,63.4, ,MD,OCC-MAU-002,10,0,JC, ,0.644435224,0.01683941
78,104,5/18/2014,MOSP,104,4970.4,10235.5,163.94,0,75.1, ,EM,OCC-MAU-002,10,0,JC, ,0.763240954,0.016856165
79,105,5/18/2014,MOSP,105,5050.8,10334.3,9.32,0,13.9, ,EM,OCC-MAU-002,10,0,JC, ,0.141678817,0.00094758
80,106,5/18/2014,POSP,106,10279.5,11030.3,397.01,0,118, ,MD,OCC-MAU-002,11,0,JC, ,1.198672186,0.040880745
81,108,5/18/2014,MOSP,107,10267.5,10898.5,11.39,0,22.3, ,EM,OCC-MAU-002,11,0,JC, ,0.226969295,0.001155545
82,110,5/18/2014,MOSP,109,10458.3,11024.9,191.9,0,164.9, ,EM,OCC-MAU-002,11,0,JC, ,1.675941948,0.019656835
83,111,5/18/2014,MOSP,110,10422.1,11161.8,8.8,0,13.8, ,EM,OCC-MAU-002,11,0,JC, ,0.140648392,0.000895
84,112,5/18/2014,MOSP,111,10388.6,11120.1,10.63,0,24.2, ,EM,OCC-MAU-002,11,0,JC, ,0.245772236,0.001073715
85,113,5/18/2014,MOSP,112,10590.2,10994,10.42,0,19.3, ,EM,OCC-MAU-002,11,0,JC, ,0.19614193,0.00105728
86,114,5/18/2014,MOSP,113,10576.5,10917.2,62.5,0,54.9, ,EM,OCC-MAU-002,11,0,JC, ,0.557080892,0.006401965
87,115,5/18/2014,MOSP,114,10460.5,10930,3.51,0,8.2, ,EM,OCC-MAU-002,11,0,JC, ,0.083689475,0.00035375
88,116,5/18/2014,MOSP,115,10420.3,11237.5,14.46,0,23.6, ,EM,OCC-MAU-002,11,0,JC, ,0.240303788,0.00146789
89,117,5/18/2014,MOSP,116,10460.3,11248.1,18.96,0,18.9, ,EM,OCC-MAU-002,11,0,JC, ,0.192266777,0.001938905
90,107,5/18/2014,POSP,106,10162.5,10731.7,409.55,0,119.2, ,MD,OCC-MAU-002,11,0,JC, ,1.211806601,0.04217
91,109,5/18/2014,MOSP,108,10335.5,10777.5,308.03,0,183, ,EM,OCC-MAU-002,11,0,JC, ,1.859938414,0.03163351
92,120,5/18/2014,POSP,106,10009.3,11009.7,1184.65,0,306.7, ,MD,OCC-MAU-002,11,0,JC, ,3.116469945,0.12212864
93,121,5/18/2014,PLOB,119,10200.4,11287.4,3.29,0,7.6, ,EM,OCC-MAU-002,11,0,JC, ,0.077129551,0.000331455
94,119,5/18/2014,PLOB,118,10281.2,11319.3,102.01,0,53.5, ,MD,OCC-MAU-002,11,0,JC, ,0.543917986,0.010487815
95,122,5/18/2014,PMEA,120,11481.1,4468.7,30.17,0,28.6, ,BR,OCC-MAU-002,14,0,JC, ,0.290509946,0.00308871
96,123,5/18/2014,PLOB,121,11346.4,4268,344.31,0,134.2, ,MD,OCC-MAU-002,14,0,JC, ,1.363688502,0.03542664
97,124,5/18/2014,PLOB,122,2284.2,5990,2.96,0,7.5, ,MD,OCC-MAU-002,15,0,JC, ,0.075739228,0.0002968
98,125,5/18/2014,PLOB,123,2324.5,5987.3,10.93,0,16.8, ,MD,OCC-MAU-002,15,0,JC, ,0.170953594,0.00111122
99,126,5/18/2014,PLOB,124,2359.8,5976.8,4.16,0,8.9, ,EM,OCC-MAU-002,15,0,JC, ,0.090651074,0.00042016
100,127,5/18/2014,PLOB,125,2247.3,6022.3,6.08,0,16.7, ,MD,OCC-MAU-002,15,0,JC, ,0.169468853,0.0006106
101,128,5/18/2014,PLOB,126,2250.3,6068.5,29.9,0,35.7, ,MD,OCC-MAU-002,15,0,JC, ,0.362864733,0.003053835
102,129,5/18/2014,PMEA,127,2229.1,6141.5,100,0,52.2, ,BR,OCC-MAU-002,15,0,JC, ,0.530647578,0.010274815
103,130,5/18/2014,PLOB,128,1983.2,6388.5,1386.65,0,405.2, ,MD,OCC-MAU-002,15,0,JC, ,4.11836083,0.142864795
104,131,5/18/2014,PLOB,129,2256.1,6387.6,16.59,0,19.2, ,MD,OCC-MAU-002,15,0,JC, ,0.195316927,0.00169458
105,132,5/18/2014,PMEA,130,2378.6,6119.1,5.1,0,8.7, ,KN,OCC-MAU-002,15,0,JC, ,0.088546786,0.00051741
106,118,5/18/2014,PLOB,117,6065.3,11072.2,318.96,0,94.2, ,MD,OCC-MAU-002,16,0,JC, ,0.957478815,0.03283931
107,133,5/18/2014,PMEA,131,6410.1,10795.6,4.02,0,8.2, ,EM,OCC-MAU-002,16,0,JC, ,0.083105368,0.000406715
108,134,5/18/2014,PMEA,132,6204.3,10748.6,511.44,0,113.3, ,BR,OCC-MAU-002,16,0,JC, ,1.151131777,0.05269201
109,135,5/18/2014,PMEA,133,6283.9,10534.2,75.66,0,53.6, ,BR,OCC-MAU-002,16,0,JC, ,0.545102148,0.00776122
110,136,5/18/2014,PMEA,134,5875,10673.8,15.01,0,15.4, ,BR,OCC-MAU-002,16,0,JC, ,0.157018177,0.001532645
111,137,5/18/2014,PLUT,135,6051.2,7119.2,31.67,0,25.7, ,MD,OCC-MAU-002,17,0,JC, ,0.261400351,0.003245975
112,138,5/18/2014,PMEA,136,6014.7,7196.8,100.3,0,60.1, ,BR,OCC-MAU-002,17,0,JC, ,0.610583046,0.01029952
113,139,5/18/2014,PLUT,137,5579.9,7084.9,26.68,0,26.6, ,MD,OCC-MAU-002,17,0,JC, ,0.270233135,0.002728345
114,140,5/18/2014,PLUT,138,5769.9,7183.8,701.53,0,162.7, ,MD,OCC-MAU-002,17,0,JC, ,1.652699231,0.072275925
115,141,5/18/2014,PLUT,139,5853.3,7475.9,522.34,0,143.7, ,MD,OCC-MAU-002,17,0,JC, ,1.460027283,0.05383252
116,142,5/18/2014,PMEA,140,5548,7390.4,15.55,0,17.8, ,BR,OCC-MAU-002,17,0,JC, ,0.180557565,0.00158788
117,143,5/18/2014,PMEA,141,5620.1,7285.1,27.77,0,25.2, ,BR,OCC-MAU-002,17,0,JC, ,0.25661877,0.002845255
118,144,5/18/2014,POCS,142,5424.8,7133.1,2.11,0,5.6, ,EM,OCC-MAU-002,17,0,JC, ,0.056681206,0.000211935
119,145,5/18/2014,PLOB,143,5353.7,7098.6,158.46,0,100.4, ,MD,OCC-MAU-002,17,0,JC, ,1.019439838,0.016267655
120,146,5/18/2014,PLOB,144,5400.2,7138.8,1.3,0,4.8, ,MD,OCC-MAU-002,17,0,JC, ,0.048927023,0.000128455
121,147,5/18/2014,PMEA,145,5695.9,8634.8,378.13,0,134.7, ,BR,OCC-MAU-002,18,0,JC, ,1.368769505,0.03890998
122,148,5/18/2014,AGLO,146,2740.9,9330.9,836.97,0,194.2, ,BR,OCC-MAU-002,19,0,JC, ,1.973429577,0.086223735
123,149,5/18/2014,POSP,147,3039.9,8886.9,222.58,0,123.5, ,MD,OCC-MAU-002,19,0,JC, ,1.254208507,0.02286727
124,150,5/18/2014,PLOB,148,3168.8,9433.2,2.6,0,8.3, ,EM,OCC-MAU-002,19,0,JC, ,0.084455462,0.00025883
125,151,5/18/2014,POSP,149,3217.9,9452.1,43.57,0,28.9, ,MD,OCC-MAU-002,19,0,JC, ,0.293731712,0.00447394
126,152,5/18/2014,POSP,150,2362.7,7549.2,15.93,0,19, ,MD,OCC-MAU-002,20,0,JC, ,0.193400475,0.001625585
127,153,5/18/2014,PLUT,151,9045.4,9046.4,423.73,0,110, ,MD,OCC-MAU-002,1,0,JC, ,1.117829957,0.043640305
128,154,5/18/2014,PLOB,152,9078.2,7164.8,12044.85,0,1175.9, ,MD,OCC-MAU-002,2,0,JC, ,11.95178072,1.242817135
129,155,5/18/2014,PLOB,153,11110.5,2897.6,981.94,0,270, ,MD,OCC-MAU-002,3,0,JC, ,2.743098588,0.10125821
130,156,5/18/2014,PLUT,154,10234.6,2925.9,885.61,0,143.9, ,MD,OCC-MAU-002,3,0,JC, ,1.463451626,0.091298255
131,157,5/18/2014,PLUT,155,8812.2,3289.4,2.06,0,5.9, ,EM,OCC-MAU-002,4,0,JC, ,0.060642774,0.00020605
132,158,5/18/2014,PLOB,156,6946.3,3492.6,4081.82,0,734.2, ,MD,OCC-MAU-002,9,0,JC, ,7.463845493,0.420856245
133,159,5/18/2014,PLOB,157,8836.8,11703.4,5964.54,0,770.8, ,MD,OCC-MAU-002,12,0,JC, ,7.833904768,0.615231435
134,160,5/18/2014,PLOB,158,2312.8,6713.3,2.94,0,7.5, ,EM,OCC-MAU-002,15,0,JC, ,0.07619913,0.00029598
135,161,5/18/2014,MOSP,159,2437.7,6238.5,92.56,0,76.5, ,EM,OCC-MAU-002,15,0,JC, ,0.777231662,0.009501545
136,162,5/18/2014,MOSP,160,2505.2,6323.2,4.82,0,9.2, ,EM,OCC-MAU-002,15,0,JC, ,0.093295689,0.00048821
137,163,5/18/2014,MOSP,161,2559.8,6326.3,12.45,0,18.8, ,EM,OCC-MAU-002,15,0,JC, ,0.190340604,0.001267815
138,164,5/18/2014,MOSP,162,2614.8,6315.3,9.27,0,18.9, ,EM,OCC-MAU-002,15,0,JC, ,0.191691035,0.00093853
139,165,5/18/2014,MOSP,163,2520.5,6285.1,6.79,0,12.5, ,EM,OCC-MAU-002,15,0,JC, ,0.126688623,0.00068888
140,166,5/18/2014,MOSP,164,2472.1,6000.3,7,0,13.7, ,EM,OCC-MAU-002,15,0,JC, ,0.139600293,0.00070846
141,167,5/18/2014,MOSP,165,2485.6,5968.2,1.69,0,5.4, ,EM,OCC-MAU-002,15,0,JC, ,0.054715199,0.00016839
142,168,5/18/2014,MOSP,166,6234,11098.1,3.33,0,6.9, ,EM,OCC-MAU-002,16,0,JC, ,0.070543486,0.00033624
143,169,5/18/2014,MOSP,167,6239.2,11121.7,3.76,0,8.2, ,EM,OCC-MAU-002,16,0,JC, ,0.083414813,0.000378375
144,170,5/18/2014,MOSP,168,6273.3,11052.5,83.58,0,45.1, ,EM,OCC-MAU-002,16,0,JC, ,0.45928659,0.00858935
145,171,5/18/2014,MOSP,169,6163.2,11021.1,48.79,0,50.8, ,EM,OCC-MAU-002,16,0,JC, ,0.515472665,0.00498828
146,172,5/18/2014,PLOB,170,2803.1,9635.1,255.02,0,133.9, ,EM,OCC-MAU-002,19,0,JC, ,1.361422145,0.026203121
147,174,5/18/2014,PLOB,172,6794.9,5520.1,19673.68,0,1332.4, ,EM,OCC-MAU-002,21,0,JC, ,13.54144183,2.03015931
148,173,5/18/2014,PLOB,171,6267.4,5921.7,3160.62,0,360.7, ,EM,OCC-MAU-002,21,0,JC, ,3.665657942,0.32598531
149,175,5/18/2014,PLUT,173,9671.9,10214.5,16.12,0,19.6, ,EM,OCC-MAU-002,22,0,JC, ,0.198974888,0.00164536
150,176,5/18/2014,PLUT,174,9885.1,10409.7,1817.89,0,281.1, ,MD,OCC-MAU-002,22,0,JC, ,2.856419365,0.187405909
151,177,5/18/2014,PLUT,175,9732.3,10146.8,55.56,0,39, ,MD,OCC-MAU-002,22,0,JC, ,0.396090782,0.005698355
152,178,5/18/2014,PLUT,175,9891.7,10050.9,59.24,0,42.8, ,MD,OCC-MAU-002,22,0,JC, ,0.435611276,0.00607704
153,179,5/18/2014,PLUT,175,9919.1,10098.9,20.74,0,18.4, ,MD,OCC-MAU-002,22,0,JC, ,0.18641123,0.00212287
154,180,5/18/2014,PLUT,175,10014.1,10096.9,235.22,0,73.5, ,MD,OCC-MAU-002,22,0,JC, ,0.746775273,0.024215175
155,181,5/18/2014,MOSP,176,10180.4,10067.2,14.63,0,20.3, ,EM,OCC-MAU-002,22,0,JC, ,0.205977881,0.00149098
156,182,5/18/2014,PMEA,177,9771.9,9836.5,124.55,0,61.9, ,BR,OCC-MAU-002,22,0,JC, ,0.628856042,0.01280075
157,183,5/18/2014,PLOB,178,9409.2,9898.2,6.04,0,9.2, ,MD,OCC-MAU-002,22,0,JC, ,0.092984532,0.000614315
158,184,5/18/2014,PLOB,179,9451.7,9887.9,5.01,0,12.4, ,EM,OCC-MAU-002,22,0,JC, ,0.125874086,0.00050522
159,185,5/18/2014,PLUT,180,9604.5,9714.6,2.51,0,6.8, ,MD,OCC-MAU-002,22,0,JC, ,0.068981211,0.00025152
160,186,5/18/2014,PLUT,181,9633.2,9712.2,5.13,0,14.2, ,MD,OCC-MAU-002,22,0,JC, ,0.14499823,0.00051418
161,187,5/18/2014,PLUT,182,9666.5,9700.2,1.67,0,6.4, ,MD,OCC-MAU-002,22,0,JC, ,0.064708405,0.0001656
162,188,5/18/2014,PLUT,182,9539.5,9474.4,1195.43,0,344.5, ,MD,OCC-MAU-002,22,0,JC, ,3.500733561,0.1231111
163,189,5/18/2014,PMEA,183,12403.2,8362.9,688.91,0,172.5, ,BR,OCC-MAU-002,23,0,JC, ,1.752622085,0.07095385
164,190,5/18/2014,PMEA,184,12203.7,8218.2,105.5,0,54.4, ,BR,OCC-MAU-002,23,0,JC, ,0.552883329,0.010841095
165,191,5/18/2014,PMEA,185,12181.3,8124.5,295.1,0,90.7, ,BR,OCC-MAU-002,23,0,JC, ,0.922129982,0.03037945
166,192,5/18/2014,MOSP,186,12357.1,8064.8,126.5,0,99.2, ,EM,OCC-MAU-002,23,0,JC, ,1.00796732,0.012995065
167,193,5/18/2014,MOSP,187,12188.6,8341.8,117.7,0,54.5, ,EM,OCC-MAU-002,23,0,JC, ,0.553241736,0.01209824
168,194,5/18/2014,MOSP,188,12010.4,8143.3,9.65,0,18.1, ,EM,OCC-MAU-002,23,0,JC, ,0.183997063,0.00097739
169,195,5/18/2014,MOSP,189,11945.1,8034.1,135.33,0,80.5, ,EM,OCC-MAU-002,23,0,JC, ,0.817756244,0.01392742
170,197,5/18/2014,PLOB,191,3708,5084.6,33.08,0,35.5, ,MD,OCC-MAU-002,24,0,JC, ,0.361618802,0.003382645
171,196,5/18/2014,PLOB,190,4308.1,5541.2,32919.84,0,3035.3, ,MD,OCC-MAU-002,24,0,JC, ,30.84787567,3.39828573
172,198,5/18/2014,PLOB,157,9380.8,11582,1104.89,0,277.5, ,MD,OCC-MAU-002,12,0,JC, ,2.820337617,0.11388213
173,213,5/18/2014,ACSP,192,2472.1,4744.5,213.25,0,133.5, ,BR,OCC-MAU-002,-99,0,JC, ,1.3558866,0.021906965
174,220,5/18/2014,ACSP,193,3689,8596,356.44,0,86.9, ,BR,OCC-MAU-002,-99,0,JC, ,0.883201056,0.036714235
175,223,5/18/2014,AGLO,194,4319.4,6477.8,371.62,0,89.7, ,BR,OCC-MAU-002,-99,0,JC, ,0.911390673,0.038278565
176,230,5/18/2014,ACSP,195,6360.6,3641.9,244.33,0,105.5, ,BR,OCC-MAU-002,7,0,JC, ,1.071917875,0.02512733
177,231,5/18/2014,AGLO,196,5989.4,4860.1,440.72,0,92.3, ,BR,OCC-MAU-002,-99,0,JC, ,0.937331306,0.045404145
178,234,5/18/2014,ACSP,197,6788.4,7427.2,241.78,0,107, ,BR,OCC-MAU-002,-99,0,JC, ,1.087445613,0.02485917
179,239,5/18/2014,ACSP,198,7769,13209.1,54.09,0,36.5, ,BR,OCC-MAU-002,-99,0,JC, ,0.370232049,0.005549575
180,240,5/18/2014,ACSP,199,7917.2,12948.5,26.76,0,24.8, ,BR,OCC-MAU-002,-99,0,JC, ,0.251821837,0.00273954
181,242,5/18/2014,AGLO,200,7878.9,11047.5,936.45,0,219.1, ,BR,OCC-MAU-002,-99,0,JC, ,2.226378303,0.09657559
182,249,5/18/2014,ACSP,201,8390.3,1139.3,29.93,0,21.1, ,BR,OCC-MAU-002,-99,0,JC, ,0.21426688,0.003069965
183,251,5/18/2014,ACSP,202,9083.7,1575.4,47.95,0,37.2, ,BR,OCC-MAU-002,-99,0,JC, ,0.378578184,0.00491615
184,253,5/18/2014,ACSP,203,9378.5,1789.2,118.42,0,61, ,BR,OCC-MAU-002,-99,0,JC, ,0.620099377,0.01216464
185,255,5/18/2014,ACSP,204,9621.4,3914.4,149.12,0,51.9, ,BR,OCC-MAU-002,-99,0,JC, ,0.528096421,0.01534562
186,257,5/18/2014,ACSP,205,9359.8,6068.8,11.17,0,13.2, ,BR,OCC-MAU-002,-99,0,JC, ,0.134646801,0.001140755
