"","Island","Site","Genus_Code","Site_Genet","TimePt_STA","TP_ID_STA","Year_STA","Date_STA","Surface_Area_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","TimePt_END","TP_ID_END","Year_END","Date_END","Surface_Area_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","l10_Area_STA","l10_Area_END","l10TransitionMagnitude","l10_Surface_Area_STA","l10_Surface_Area_END","l10STransitionMagnitude","Interval_Years","l10_Area_ENDann","l10_Surface_Area_ENDann","Mortality","Survival"
"21","ASC","OCC-ASC-003","POSP","OCC-ASC-003_044",0,5,2017,2017-06-07,0.001316786,0.00084912,0.175980397,1,1,8,2022,2022-07-24,0.001249887,0.00061781,0.130600954,2,"GROW","17_22",-3.07103092971469,-3.20914506639768,-0.138114136682988,-2.88048479950352,-2.90312924898778,-0.0226444494842606,5.12799452429843,-3.0979642924608,-2.88490064850198,0,1
"22","ASC","OCC-ASC-003","POCS","OCC-ASC-003_045",0,5,2017,2017-06-07,0.003201313,0.00126417,0.163799287,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-2.89819452012204,-Inf,-Inf,-2.49467186177361,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"23","ASC","OCC-ASC-003","POSP","OCC-ASC-003_046",0,5,2017,2017-06-07,0.002006546,0.000483065,0.091464772,1,1,8,2022,2022-07-24,0.003591606,0.001555415,0.166569133,1,"GROW","17_22",-3.31599442775363,-2.80815371714262,0.50784071061101,-2.69755087962953,-2.44471131159578,0.252839568033753,5.12799452429843,-3.21696142212059,-2.64824513898654,0,1
"24","ASC","OCC-ASC-003","POSP","OCC-ASC-003_047",0,5,2017,2017-06-07,0.001179942,0.00012172,0.045980156,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.91463805631387,-Inf,-Inf,-2.92813933989644,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"25","ASC","OCC-ASC-003","POSP","OCC-ASC-003_048",0,5,2017,2017-06-07,0.006811616,0.00493053,0.611695556,2,1,8,2022,2022-07-24,0.04130283,0.01987611,1.107387461,1,"GROW","17_22",-2.30710639437313,-1.70166860841167,0.605437785961453,-2.16674984306142,-1.38402019020131,0.782729652860108,5.12799452429843,-2.18904117743644,-2.01411129223005,0,1
"26","ASC","OCC-ASC-003","POSP","OCC-ASC-003_049",0,5,2017,2017-06-07,0.001962936,0.001265385,0.202146891,2,1,8,2022,2022-07-24,0.001748948,0.000960215,0.252108174,3,"GROW","17_22",-2.89777731801646,-3.01763151398199,-0.119854195965527,-2.70709386000262,-2.75722310284195,-0.050129242839335,5.12799452429843,-2.92114984608716,-2.71686946381846,0,1
"27","ASC","OCC-ASC-003","POSP","OCC-ASC-003_050",0,5,2017,2017-06-07,0.002811318,0.000954705,0.259914265,1,1,8,2022,2022-07-24,0.003121415,0.001068225,0.187712251,2,"GROW","17_22",-3.02013080293345,-2.97133726231989,0.04879354061356,-2.55109002673902,-2.5056484869488,0.0454415397902221,5.12799452429843,-3.01061567174866,-2.54222856255943,0,1
"28","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_051",0,5,2017,2017-06-07,0.00073736,0.00014395,0.047387465,1,1,8,2022,2022-07-24,0.002589388,0.001734765,0.184512575,1,"GROW","17_22",-3.8417883307859,-2.76075934860548,1.08102898218042,-3.13232042551815,-2.58680286898048,0.545517556537676,5.12799452429843,-3.63097902179423,-3.0259401331928,0,1
"29","ASC","OCC-ASC-003","POCS","OCC-ASC-003_052",0,5,2017,2017-06-07,0.000877392,0.0003613,0.082440575,1,1,8,2022,2022-07-24,0.07657652,0.01586642,0.718146269,1,"GROW","17_22",-3.44213203843198,-1.79952105368855,1.64261098474342,-3.05680632978028,-1.11590437393947,1.94090195584082,5.12799452429843,-3.12180974148722,-2.67831490459563,0,1
"30","ASC","OCC-ASC-003","POCS","OCC-ASC-003_053",0,5,2017,2017-06-07,0.00061272,0.00018957,0.068247689,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.72223038991635,-Inf,-Inf,-3.21273794348414,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"31","ASC","OCC-ASC-003","POCS","OCC-ASC-003_054",0,5,2017,2017-06-07,0.002087134,0.00091381,0.171363156,1,1,8,2022,2022-07-24,0.040803817,0.012059675,0.65591882,1,"GROW","17_22",-3.03914409368559,-1.91866439597767,1.12047969770793,-2.68044966708578,-1.38929920885865,1.29115045822713,5.12799452429843,-2.82064157922333,-2.42866498749824,0,1
"32","ASC","OCC-ASC-003","POCS","OCC-ASC-003_055",0,5,2017,2017-06-07,0.000275446,0.00016872,0.05155969,1,1,8,2022,2022-07-24,0.065731767,0.021946945,0.907230477,1,"GROW","17_22",-3.77283343326857,-1.65862592471483,2.11420750855374,-3.55996353002706,-1.18222469286744,2.37773883715962,5.12799452429843,-3.36054603738002,-3.09628541455853,0,1
"33","ASC","OCC-ASC-003","POCS","OCC-ASC-003_056",0,5,2017,2017-06-07,0.000935047,0.00077934,0.106319199,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.10827303281579,-Inf,-Inf,-3.02916655883054,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"34","ASC","OCC-ASC-003","POCS","OCC-ASC-003_057",0,5,2017,2017-06-07,0.000328727,0.00024958,0.06583821,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.60279021962122,-Inf,-Inf,-3.48316462366574,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"35","ASC","OCC-ASC-003","POCS","OCC-ASC-003_058",0,5,2017,2017-06-07,0.0008297,0.00038718,0.081299976,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.41208708450923,-Inf,-Inf,-3.08107890990866,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"36","ASC","OCC-ASC-003","POCS","OCC-ASC-003_059",0,5,2017,2017-06-07,0.000399761,0.00030734,0.068193946,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.51238091306361,-Inf,-Inf,-3.39819957717879,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"37","ASC","OCC-ASC-003","POCS","OCC-ASC-003_060",0,5,2017,2017-06-07,0.000493944,0.00038458,0.083324549,1,1,8,2022,2022-07-24,0.029980517,0.010220915,0.702663587,1,"GROW","17_22",-3.4150133049012,-1.99051022341234,1.42450308148886,-3.30632228563016,-1.52316088221785,1.78316140341231,5.12799452429843,-3.13722379581748,-2.95859153144097,0,1
"38","ASC","OCC-ASC-003","POCS","OCC-ASC-003_061",0,5,2017,2017-06-07,0.000354622,0.00012439,0.045341223,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.90521453218044,-Inf,-Inf,-3.4502343251868,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"39","ASC","OCC-ASC-003","POCS","OCC-ASC-003_062",0,5,2017,2017-06-07,0.000871535,0.00017727,0.05560844,1,1,8,2022,2022-07-24,0.028455562,0.006329755,0.43538597,1,"GROW","17_22",-3.75136475530067,-2.19861309949406,1.55275165580661,-3.05971516735875,-1.54583283261448,1.51388233474427,5.12799452429843,-3.44856574714084,-2.76449598809269,0,1
"40","ASC","OCC-ASC-003","POCS","OCC-ASC-003_063",0,5,2017,2017-06-07,0.001239158,0.00035812,0.072685211,1,1,8,2022,2022-07-24,0.022706521,0.008917785,0.533203124,1,"GROW","17_22",-3.44597142417913,-2.04974300232047,1.39622842185865,-2.90687331496912,-1.64384940150217,1.26302391346695,5.12799452429843,-3.17369570016211,-2.66057353686244,0,1
"41","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_064",0,5,2017,2017-06-07,0.009466819,0.005489755,0.382400416,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-2.26044703706581,-Inf,-Inf,-2.02379592625779,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"42","ASC","OCC-ASC-003","POSP","OCC-ASC-003_065",0,5,2017,2017-06-07,0.003465675,0.00205738,0.218370715,1,1,8,2022,2022-07-24,0.048235568,0.02709068,1.096448616,1,"GROW","17_22",-2.68668548630167,-1.56718009365486,1.11950539264681,-2.46021216647049,-1.3166326030563,1.14357956341418,5.12799452429843,-2.46837296912909,-2.23720499319925,0,1
"43","ASC","OCC-ASC-003","POSP","OCC-ASC-003_066",0,5,2017,2017-06-07,0.003991563,0.00334421,0.266716746,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-2.47570645881148,-Inf,-Inf,-2.39885701174269,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"44","ASC","OCC-ASC-003","POSP","OCC-ASC-003_067",0,5,2017,2017-06-07,0.032641672,0.015294235,1.830131715,4,1,8,2022,2022-07-24,0.030036806,0.01759037,2.093952925,2,"GROW","17_22",-1.81547224104527,-1.75472502539369,0.0607472156515871,-1.48622760354024,-1.52234625044031,-0.0361186469000687,5.12799452429843,-1.80362604749656,-1.49327102894347,0,1
"45","ASC","OCC-ASC-003","POSP","OCC-ASC-003_068",0,5,2017,2017-06-07,0.002955289,0.00179635,0.2153155,1,1,8,2022,2022-07-24,0.003013987,0.00074889,0.24345688,2,"GROW","17_22",-2.74560904168898,-3.12558196855065,-0.379972926861671,-2.52940004271228,-2.52085862522658,0.00854141748570747,5.12799452429843,-2.81970680545632,-2.52773439789827,0,1
"46","ASC","OCC-ASC-003","POSP","OCC-ASC-003_069",0,5,2017,2017-06-07,0.019785614,0.01061426,1.224075941,6,1,8,2022,2022-07-24,0.029833883,0.015012425,1.382055377,3,"GROW","17_22",-1.97411027838156,-1.82354914925881,0.150561129122748,-1.70365046788093,-1.5252902177836,0.178360250097328,5.12799452429843,-1.94474965242743,-1.66886879070632,0,1
"47","ASC","OCC-ASC-003","POSP","OCC-ASC-003_070",0,5,2017,2017-06-07,0.002379162,0.001846995,0.309884627,1,1,8,2022,2022-07-24,0.002142562,0.00156985,0.371709371,3,"GROW","17_22",-2.73353428023672,-2.80414184267641,-0.0706075624396929,-2.62357598532267,-2.66906660190498,-0.0454906165823101,5.12799452429843,-2.74730332037612,-2.63244701986975,0,1
"48","ASC","OCC-ASC-003","POSP","OCC-ASC-003_071",0,5,2017,2017-06-07,0.000558467,0.00029429,0.07260549,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.53122449501424,-Inf,-Inf,-3.25300248439497,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"49","ASC","OCC-ASC-003","POSP","OCC-ASC-003_072",0,5,2017,2017-06-07,0.000734336,0.00017505,0.059810439,1,1,8,2022,2022-07-24,0.002840947,0.00085885,0.151426657,1,"GROW","17_22",-3.75683788489895,-3.06608268001129,0.690755204887654,-3.13410518046969,-2.54653686829123,0.587568312178461,5.12799452429843,-3.62213508800348,-3.01952465402912,0,1
"50","ASC","OCC-ASC-003","POSP","OCC-ASC-003_073",0,5,2017,2017-06-07,0.004820699,0.003283605,0.676930544,3,1,8,2022,2022-07-24,0.031677109,0.01655192,1.792159066,5,"GROW","17_22",-2.48364909169815,-1.78115162140241,0.702497470295741,-2.3168899846174,-1.49925446100423,0.817635523613175,5.12799452429843,-2.34665645900967,-2.15744450944404,0,1
"51","ASC","OCC-ASC-003","POSP","OCC-ASC-003_074",0,5,2017,2017-06-07,0.000152104,0.00012379,0.043781357,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.90731443706251,-Inf,-Inf,-3.81785936480903,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"52","ASC","OCC-ASC-003","POSP","OCC-ASC-003_075",0,5,2017,2017-06-07,0.000312972,0.000182235,0.072213391,1,1,8,2022,2022-07-24,0.000201222,0.00013457,0.045558491,1,"GROW","17_22",-3.73936820888283,-3.87105174759067,-0.131683538707835,-3.50449451481596,-3.69632453874395,-0.191830023927992,5.12799452429843,-3.76504755352407,-3.54190290576081,0,1
"53","ASC","OCC-ASC-003","POSP","OCC-ASC-003_076",0,5,2017,2017-06-07,9.82e-05,8.15e-05,0.037489172,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-4.08884239126002,-Inf,-Inf,-4.00788851221305,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"54","ASC","OCC-ASC-003","POSP","OCC-ASC-003_077",0,5,2017,2017-06-07,0.000400822,0.00031568,0.101889869,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.50075293209188,-Inf,-Inf,-3.39704844927557,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"55","ASC","OCC-ASC-003","POSP","OCC-ASC-003_078",0,5,2017,2017-06-07,0.000341378,0.00022626,0.079207787,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.64539221721074,-Inf,-Inf,-3.46676447029353,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"56","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_079",0,5,2017,2017-06-07,0.009109633,0.001674075,0.184624686,1,1,8,2022,2022-07-24,0.208246294,0.069967245,1.887959049,1,"GROW","17_22",-2.77622508914055,-1.15510522634302,1.62111986279753,-2.04049911910663,-0.681422718659092,1.35907640044754,5.12799452429843,-2.4600937330878,-1.77546833679832,0,1
"57","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_080",0,5,2017,2017-06-07,0.013875627,0.010091015,0.497781573,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-1.99606514825971,-Inf,-Inf,-1.85774738323319,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"58","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_081",0,5,2017,2017-06-07,0.025049302,0.016442295,0.768000287,1,1,8,2022,2022-07-24,0.018865559,0.007805825,0.415570598,1,"GROW","17_22",-1.78403756415162,-2.1075811894609,-0.323543625309284,-1.60120437126467,-1.72433032181636,-0.123125950551687,5.12799452429843,-1.84713116219979,-1.62521491768165,0,1
"59","ASC","OCC-ASC-003","POSP","OCC-ASC-003_082",0,5,2017,2017-06-07,0.024452783,0.01579042,1.014289392,3,1,8,2022,2022-07-24,0.079623687,0.05221166,2.107816544,4,"GROW","17_22",-1.80160631829718,-1.28223249875674,0.519373819540444,-1.61167170616154,-1.09895771614301,0.51271399001853,5.12799452429843,-1.70032426405952,-1.51168837201618,0,1
"60","ASC","OCC-ASC-003","POSP","OCC-ASC-003_084",0,5,2017,2017-06-07,0.001383489,0.00111006,0.228646338,1,1,8,2022,2022-07-24,0.016482953,0.010727325,0.992797616,3,"GROW","17_22",-2.95465354647039,-1.96950856159177,0.985144984878617,-2.85902428954673,-1.78296497973127,1.07605930981546,5.12799452429843,-2.76254238484363,-2.64918410646606,0,1
"61","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_085",0,5,2017,2017-06-07,0.018041187,0.009260385,0.47098923,1,1,8,2022,2022-07-24,0.035812639,0.019508055,0.751705039,1,"GROW","17_22",-2.03337095717338,-1.70978602865137,0.32358492852201,-1.74373489192761,-1.44596367505319,0.297771216874424,5.12799452429843,-1.97026930466796,-1.68566711992367,0,1
"62","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_086",0,5,2017,2017-06-07,0.002174413,0.00154394,0.169986055,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-2.81136958105678,-Inf,-Inf,-2.66265796411996,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"63","ASC","OCC-ASC-003","POSP","OCC-ASC-003_087",0,5,2017,2017-06-07,0.011714446,0.00594907,0.717383027,4,1,8,2022,2022-07-24,0.025220406,0.01061925,1.340398326,2,"GROW","17_22",-2.2255509208994,-1.97390615485186,0.251644766047538,-1.93127824525158,-1.5982479264013,0.333030318850273,5.12799452429843,-2.17647817621234,-1.86633466598833,0,1
"64","ASC","OCC-ASC-003","POSP","OCC-ASC-003_088",0,5,2017,2017-06-07,0.002243133,0.001774535,0.30840705,2,1,8,2022,2022-07-24,0.007385207,0.003689405,0.522938934,3,"GROW","17_22",-2.75091543043475,-2.4330436680015,0.317871762433255,-2.64914497543457,-2.13163732733946,0.517507648095108,5.12799452429843,-2.68892789107077,-2.54822683957406,0,1
"65","ASC","OCC-ASC-003","POSP","OCC-ASC-003_089",0,5,2017,2017-06-07,0.001628724,0.00122419,0.233999652,1,1,8,2022,2022-07-24,0.001838356,0.001232225,0.319769825,3,"GROW","17_22",-2.91215117242918,-2.90930998426854,0.00284118816064227,-2.78815250404784,-2.73557038312157,0.0525821209262691,5.12799452429843,-2.91159711798408,-2.77789856936107,0,1
"66","ASC","OCC-ASC-003","POSP","OCC-ASC-003_090",0,5,2017,2017-06-07,0.001325306,0.001004395,0.26969499,1,1,8,2022,2022-07-24,0.006690545,0.00396607,0.587807236,5,"GROW","17_22",-2.99809545792428,-2.40163962488981,0.596455833034478,-2.87768383586429,-2.17453850392841,0.703145331935881,5.12799452429843,-2.8817817937407,-2.74056486496756,0,1
"67","ASC","OCC-ASC-003","POSP","OCC-ASC-003_091",0,5,2017,2017-06-07,0.001515812,0.00097823,0.149312296,1,1,8,2022,2022-07-24,0.000197139,9.14e-05,0.051989227,2,"GROW","17_22",-3.00955902252611,-4.03905380426617,-1.02949478174006,-2.819354659143,-3.7052274507621,-0.88587279161909,5.12799452429843,-3.21031874971808,-2.99210694805858,0,1
"68","ASC","OCC-ASC-003","POSP","OCC-ASC-003_092",0,5,2017,2017-06-07,0.001196929,0.00104578,0.212520599,1,1,8,2022,2022-07-24,0.000300354,0.0002812,0.091920203,2,"GROW","17_22",-2.98055966808362,-3.55098468365221,-0.570425015568595,-2.92193161051484,-3.52236657990987,-0.600434969395027,5.12799452429843,-3.09179711439244,-3.03902123815581,0,1
"69","ASC","OCC-ASC-003","POSP","OCC-ASC-003_093",0,5,2017,2017-06-07,0.001047582,0.000641235,0.136514367,1,1,8,2022,2022-07-24,0.001409317,0.00103787,0.262626811,4,"GROW","17_22",-3.1929827809342,-2.98385704130296,0.209125739631236,-2.97981197241541,-2.85099130932763,0.12882066308778,5.12799452429843,-3.15220158691374,-2.95469091144755,0,1
"70","ASC","OCC-ASC-003","POSP","OCC-ASC-003_094",0,5,2017,2017-06-07,0.000139243,0.00011956,0.047904038,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-3.92241409363276,-Inf,-Inf,-3.8562266283825,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
"71","ASC","OCC-ASC-003","POSP","OCC-ASC-003_095",0,5,2017,2017-06-07,0.00034759,0.00023029,0.063461914,1,1,8,2022,2022-07-24,0.001561926,0.001054305,0.317130257,2,"GROW","17_22",-3.63772492021688,-2.97703373385262,0.660691186364261,-3.45893272649061,-2.80633954571669,0.652593180773915,5.12799452429843,-3.50888484770244,-3.3316718299195,0,1
"72","ASC","OCC-ASC-003","ACSP","OCC-ASC-003_096",0,5,2017,2017-06-07,0.024258217,0.01718559,0.67795594,1,1,8,2022,2022-07-24,0.074685771,0.034464015,1.277342774,1,"GROW","17_22",-1.76483555346881,-1.46263412936123,0.302201424107579,-1.61514112331768,-1.12676213131454,0.488378992003137,5.12799452429843,-1.7059038555749,-1.51990330867318,0,1
"73","ASC","OCC-ASC-003","POSP","OCC-ASC-003_097",0,5,2017,2017-06-07,0.00117114,0.001046,0.145235964,1,1,8,2022,2022-07-24,0.00223226,0.0014075,0.237189261,2,"GROW","17_22",-2.98046831546874,-2.85155159647662,0.128916718992128,-2.93139118554832,-2.65125522282177,0.280135962726549,5.12799452429843,-2.95532852283026,-2.87676242933589,0,1
"74","ASC","OCC-ASC-003","POSP","OCC-ASC-003_098",0,5,2017,2017-06-07,0.002891691,0.00205576,0.346200389,1,1,8,2022,2022-07-24,0,0,0,0,"MORT","17_22",-2.68702758848981,-Inf,-Inf,-2.53884811669032,-Inf,-Inf,5.12799452429843,-Inf,-Inf,1,0
