,Site,Genus_Code,StartingDate,EndingDate,Interval_Years,Interval,SIG,g.N,g.int,g.slp,g.var,g.R2,g.AIC,s.N,s.int,s.slp,s.pR2,s.AIC,StartingYear,SEC_NAME,N.Rec_Site,MN.RecVal_Site,NA_Site_Reason,N.RecVal_Sec,MN.RecVal_Sec,LOW_CI95.RecVal_Sec,HIGH_CI95.RecVal_Sec,N.RecVal_Sec_SSSS,MN.RecVal_Sec_SSSS,LOW_CI95.RecVal_Sec_SSSS,HIGH_CI95.RecVal_Sec_SSSS,RecSec_NA_Reason,RecData,Enough_G,Enough_S,Enough_GS,Model_Category
31,MAI_SIO_K02,MOSP,7/21/2014,7/11/2015,0.971937029,14-15,MAIK02_1407-1507_MOSP,23,0.160080295,0.883045365,0.116845881,0.715795376,19.80013391,69,-6.002691481,4.256647806,0.483356862,49.38139343,2014,MAI_LAHAINA,NA,NA,First Interval,18,NA,NA,NA,18,NA,NA,NA,NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
53,MAI_SIO_K02,POSP,7/21/2014,7/11/2015,0.971937029,14-15,MAIK02_1407-1507_POSP,169,0.082815482,0.94041443,0.068686328,0.807321571,30.97263138,245,-2.215021116,3.496437446,0.369332346,195.369345,2014,MAI_LAHAINA,NA,NA,First Interval,18,NA,NA,NA,18,NA,NA,NA,NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
71,OAH_OCC_010,POCS,3/7/2017,5/7/2019,2.165639973,17-19,OAH010_1703-1905_POCS,23,-0.126601809,1.055929677,0.022195327,0.746860053,-18.40226854,29,-11.93133004,5.758312093,0.435262739,20.69889148,2017,OAH_SOUTH,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
72,OAH_OCC_010,POSP,3/7/2017,5/7/2019,2.165639973,17-19,OAH010_1703-1905_POSP,47,0.059471405,0.98685835,0.011145981,0.973002165,-74.00736238,59,0.004748839,1.08346634,0.05883312,60.09146063,2017,OAH_SOUTH,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
9,HAW_OCC_002,MOSP,8/15/2016,7/15/2019,2.913073238,16-19,HAW002_1608-1907_MOSP,20,-0.037791422,0.918850314,0.028114757,0.902553961,-10.77888263,35,0.007787726,0.549855478,0.016084028,51.03469341,2016,HAW_HAMAKUA,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_NONE
15,HAW_OCC_010,POSP,7/6/2016,7/19/2019,3.033538672,16-19,HAW010_1607-1907_POSP,118,0.04583356,0.949524524,0.017604262,0.945010569,-137.8221283,214,-2.341397829,2.076809339,0.207046995,237.4464037,2016,HAW_KONA,NA,NA,First Interval,18,0.000817191,0.00037403,0.001260351,18,0.001428372,0.000719911,0.002136832,Exists,SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SEC
69,OAH_OCC_005,POCS,8/1/2016,10/4/2018,2.173853525,16-18,OAH005_1608-1810_POCS,22,0.316558821,0.870949584,0.006568607,0.841687567,-44.2235056,25,-138.6481246,82.80936767,1,4.000000001,2016,OAH_NE,NA,NA,First Interval,4,0.00091241,0.000201742,0.001623077,4,0.001377179,0.000127273,0.002627085,Exists,SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SEC
22,KUR_OCC_010,POCS,9/12/2016,9/2/2019,2.970568104,16-19,KUR010_1609-1909_POCS,46,0.343580355,0.877222055,0.001796427,0.992128536,-156.3123956,46,26.56606396,-1.24E-07,#NAME?,4,2016,Kure,NA,NA,First Interval,19,0.001795653,0.000667438,0.002923868,19,0.002781994,0.001252637,0.004311352,Exists,SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SEC
70,OAH_OCC_005,POSP,8/1/2016,10/4/2018,2.173853525,16-18,OAH005_1608-1810_POSP,50,0.221839025,0.913912815,0.020209923,0.948511422,-49.2263253,57,-1.836083291,2.642380418,0.263815985,35.26043601,2016,OAH_NE,NA,NA,First Interval,4,0.002010129,-0.00051031,0.004530567,4,0.001377179,0.000127273,0.002627085,Exists,SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SEC
29,MAI_OCC_002,POSP,12/19/2016,4/27/2019,2.351813826,16-19,MAI002_1612-1904_POSP,24,-0.006805587,0.937215418,0.027965181,0.899830678,-13.8223056,38,0.722666369,-0.101772963,0.000404345,51.95326086,2016,MAI_NE,NA,NA,First Interval,2,0.003778089,-0.000734741,0.008290918,2,0.005782159,-0.002941166,0.014505484,Exists,SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SEC
23,KUR_OCC_010,POSP,9/12/2016,9/2/2019,2.970568104,16-19,KUR010_1609-1909_POSP,21,-0.003000984,0.949806115,0.02302216,0.915128135,-15.7035936,65,-2.101129724,2.097163053,0.193170713,69.99195103,2016,Kure,NA,NA,First Interval,19,0.004660955,-9.15E-07,0.009322825,19,0.002781994,0.001252637,0.004311352,Exists,SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SEC
14,HAW_OCC_003,POSP,8/8/2016,7/13/2019,2.926762491,16-19,HAW003_1608-1907_POSP,37,0.031810997,0.993793754,0.003581378,0.991155253,-99.43891643,51,-4.234226886,3.587132969,0.573084623,29.59130725,2016,HAW_PUNA,NA,NA,First Interval,8,0.006555021,-0.001183094,0.014293137,8,0.002291235,2.02E-05,0.004562288,Exists,SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SEC
28,MAI_OCC_002,POCS,12/19/2016,4/27/2019,2.351813826,16-19,MAI002_1612-1904_POCS,25,0.436690379,0.827787705,0.003646172,0.98526945,-65.48954706,36,4.617979584,-1.878155261,0.157024211,41.3572108,2016,MAI_NE,NA,NA,First Interval,2,0.018691354,-0.020196867,0.057579574,2,0.005782159,-0.002941166,0.014505484,Exists,SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SEC
21,HAW_SIO_K10,POSP,4/8/2017,7/17/2019,2.272416153,17-19,HAWK10_1704-1907_POSP,60,0.253329456,0.902436443,0.021652701,0.959220573,-55.7189748,72,-0.003365907,1.222984352,0.099315742,62.43712786,2017,HAW_KONA,3,3.75E-05,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
20,HAW_SIO_K08,POSP,4/8/2017,7/19/2019,2.277891855,17-19,HAWK08_1704-1907_POSP,35,0.206367275,0.930639381,0.015928116,0.96620017,-41.62215045,43,-1.79132526,3.210772823,0.360410946,30.42640044,2017,HAW_KONA,4,0.000107565,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
57,MAI_SIO_OL3,MOSP,7/14/2015,11/4/2015,0.309377139,15-15,MAIOL3_1507-1511_MOSP,109,-0.173994678,0.987065807,0.516853128,0.522906894,241.3704022,146,-1.691645034,2.824807273,0.366271705,108.7498179,2015,MAI_KIHEI,17,0.000557427,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
35,MAI_SIO_K01,POSP,7/10/2015,11/2/2015,0.314852841,15-15,MAIK01_1507-1511_POSP,108,-0.212014234,1.034612724,0.172738,0.664438214,120.82621,118,-1.076019721,3.695180667,0.288888019,52.70372141,2015,MAI_LAHAINA,4,0.000667428,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
36,MAI_SIO_K01,MOSP,11/2/2015,6/16/2016,0.621492129,15-16,MAIK01_1511-1606_MOSP,34,0.298992789,0.880295589,0.10137606,0.810048135,22.60336064,45,-0.974485225,1.977038637,0.246754979,41.70248369,2015,MAI_LAHAINA,1,0.000698463,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
66,MAI_SIO_OL3,POSP,11/4/2015,6/16/2016,0.616016427,15-16,MAIOL3_1511-1606_POSP,21,0.081728358,0.847200399,0.163473997,0.529538239,25.46053765,31,-5.24843862,4.915465505,0.51829314,22.77961287,2015,MAI_KIHEI,1,0.000714143,UNCLEAR,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
37,MAI_SIO_K01,POSP,11/2/2015,6/16/2016,0.621492129,15-16,MAIK01_1511-1606_POSP,95,0.126930672,0.927403072,0.107289705,0.714659502,61.5158238,107,-0.527216597,2.508092349,0.185196026,65.20074261,2015,MAI_LAHAINA,3,0.000723057,UNCLEAR,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
60,MAI_SIO_OL3,MOSP,11/4/2015,6/16/2016,0.616016427,15-16,MAIOL3_1511-1606_MOSP,99,0.041456171,0.924310993,0.192298673,0.718618403,121.707504,124,-1.562200506,2.903164785,0.352849993,84.66874113,2015,MAI_KIHEI,10,0.001042889,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
59,MAI_SIO_OL3,POSP,7/14/2015,11/4/2015,0.309377139,15-15,MAIOL3_1507-1511_POSP,34,-0.448871152,0.788956542,0.88090742,0.186809521,96.11528985,51,-1.979575095,1.997795573,0.205737792,55.56703315,2015,MAI_KIHEI,5,0.001272794,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
42,MAI_SIO_K01,MOSP,7/28/2017,9/14/2018,1.130732375,17-18,MAIK01_1707-1809_MOSP,25,0.20330368,0.871753614,0.031995804,0.943811773,-11.19137617,45,-1.265157885,1.113275203,0.09184688,60.14796691,2017,MAI_LAHAINA,5,0.001386608,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
33,MAI_SIO_K01,MOSP,7/10/2015,11/2/2015,0.314852841,15-15,MAIK01_1507-1511_MOSP,48,-0.056378407,0.89869149,0.568382973,0.478846367,113.0571654,64,-0.353192228,1.559613423,0.178493234,63.13115212,2015,MAI_LAHAINA,8,0.001996618,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
43,MAI_SIO_K01,POSP,7/28/2017,9/14/2018,1.130732375,17-18,MAIK01_1707-1809_POSP,86,0.044426329,0.935671356,0.044543702,0.865858575,-19.53666246,97,-1.20880853,3.045105455,0.230028786,56.81424962,2017,MAI_LAHAINA,8,0.002147157,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
44,MAI_SIO_K02,MOSP,8/2/2017,9/14/2018,1.117043121,17-18,MAIK02_1708-1809_MOSP,27,0.406827443,0.63708485,0.089912944,0.663032673,15.50407186,37,-0.889876002,1.39903266,0.086570469,43.44283064,2017,MAI_LAHAINA,16,0.003113054,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
46,MAI_SIO_K02,POSP,8/2/2017,9/14/2018,1.117043121,17-18,MAIK02_1708-1809_POSP,141,0.123443276,0.885130014,0.03816714,0.880523126,-56.34868093,177,-0.425932095,1.738299337,0.118206309,161.6588504,2017,MAI_LAHAINA,46,0.005140397,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
50,MAI_SIO_K02,POSP,7/11/2015,7/4/2016,0.982888433,15-16,MAIK02_1507-1607_POSP,142,0.220593558,0.833139689,0.042677595,0.850235021,-40.91520567,259,-1.543863138,1.736825452,0.161667888,302.9771902,2015,MAI_LAHAINA,74,0.008155547,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
49,MAI_SIO_K02,MOSP,7/11/2015,7/4/2016,0.982888433,15-16,MAIK02_1507-1607_MOSP,20,0.03701776,0.993250872,0.03564722,0.927960733,-6.031351325,29,-1.219135095,1.340619406,0.111171053,35.93013539,2015,MAI_LAHAINA,4,0.000779627,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE
8,FFS_OCC_014,POSP,9/2/2016,8/27/2019,2.981519507,16-19,FFS014_1609-1908_POSP,21,-0.02217886,0.939449312,0.043234433,0.962844625,-2.469813062,65,-2.454041896,1.475090815,0.260289911,64.50215668,2016,French Frigate,17,8.56E-05,Exists,26,0.000973174,0.000257633,0.001688714,26,0.002475803,0.000644751,0.004306856,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
64,MAI_SIO_OL3,POSP,6/16/2016,11/29/2016,0.454483231,16-16,MAIOL3_1606-1611_POSP,27,0.630457063,0.676758669,0.089595692,0.590320287,15.40863554,28,1.947698986,0.944317918,0.024322983,12.41839674,2016,MAI_KIHEI,1,0.000714143,Exists,7,0.000252864,-1.13E-05,0.000516979,7,0.000511429,6.50E-05,0.000957877,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
63,MAI_SIO_K01,POSP,6/16/2016,11/30/2016,0.457221081,16-16,MAIK01_1606-1611_POSP,91,0.275678505,0.81762322,0.129118259,0.617167941,75.94509057,98,-1.313175951,3.905594184,0.264352783,41.1019654,2016,MAI_LAHAINA,3,0.000723057,Exists,7,0.000790497,-0.000135585,0.001716579,7,0.000511429,6.50E-05,0.000957877,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
40,MAI_SIO_K01,MOSP,11/30/2016,7/28/2017,0.657084189,16-17,MAIK01_1611-1707_MOSP,41,0.441315113,0.700900255,0.244184662,0.535589451,62.49948079,43,2.776212012,0.170369454,0.001844225,20.14787641,2016,MAI_LAHAINA,2,0.000940974,Exists,2,0.000614252,-7.53E-05,0.001303832,2,0.003970143,-0.00158006,0.009520346,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
41,MAI_SIO_K01,POSP,11/30/2016,7/28/2017,0.657084189,16-17,MAIK01_1611-1707_POSP,90,-0.009485982,0.988128009,0.057439732,0.833414086,2.254667913,95,0.019009912,2.574486748,0.15823179,36.97752354,2016,MAI_LAHAINA,3,0.001099801,Exists,2,0.073002765,-0.030901738,0.176907267,2,0.003970143,-0.00158006,0.009520346,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
26,LIS_OCC_005,MOSP,9/18/2016,8/30/2019,2.945927447,16-19,LIS005_1609-1908_MOSP,36,0.128300511,0.957697381,0.015404651,0.931740686,-44.12521626,46,-0.594633895,1.25962346,0.06182738,49.19172167,2016,Lisianski,24,0.001448721,Exists,16,0.000362882,0.000114563,0.000611201,16,0.001163813,0.000501392,0.001826235,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
39,MAI_SIO_OL3,MOSP,6/16/2016,11/29/2016,0.454483231,16-16,MAIOL3_1606-1611_MOSP,104,0.061308569,0.918073761,0.399587576,0.568958334,203.7182124,122,-0.332049659,2.164168836,0.263550952,79.18735652,2016,MAI_KIHEI,26,0.001506465,Exists,2,0.073002765,-0.030901738,0.176907267,2,0.003970143,-0.00158006,0.009520346,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
48,MAI_SIO_K02,POSP,7/4/2016,8/2/2017,1.07871321,16-17,MAIK02_1607-1708_POSP,132,-0.028580734,1.013742027,0.038985031,0.887516101,-49.69976581,170,-1.24632179,2.339596207,0.158561726,156.0102106,2016,MAI_LAHAINA,22,0.0020188,Exists,2,0.000614252,-7.53E-05,0.001303832,2,0.003970143,-0.00158006,0.009520346,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
65,MAI_SIO_OL3,MOSP,11/29/2016,7/26/2017,0.654346338,16-17,MAIOL3_1611-1707_MOSP,100,-0.047721356,0.999032056,0.134210477,0.813253395,86.93283729,137,-1.888204234,3.172571998,0.410574378,98.20955393,2016,MAI_KIHEI,26,0.002169339,Exists,7,0.000790497,-0.000135585,0.001716579,7,0.000511429,6.50E-05,0.000957877,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
38,MAI_SIO_K01,MOSP,6/16/2016,11/30/2016,0.457221081,16-16,MAIK01_1606-1611_MOSP,37,0.44427513,0.791600272,0.409351564,0.438829656,75.8976728,46,-1.009035837,2.288800431,0.252340316,38.00134978,2016,MAI_LAHAINA,11,0.004225158,Exists,2,0.000614252,-7.53E-05,0.001303832,2,0.003970143,-0.00158006,0.009520346,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
67,MAI_SIO_OL3,POSP,11/29/2016,7/26/2017,0.654346338,16-17,MAIOL3_1611-1707_POSP,30,-0.068876083,1.064719147,0.037408597,0.923816182,-9.509116526,37,-1.492199782,3.752643445,0.496528952,22.07125777,2016,MAI_KIHEI,10,0.010804619,Exists,7,0.000252864,-1.13E-05,0.000516979,7,0.000511429,6.50E-05,0.000957877,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
47,MAI_SIO_K02,MOSP,7/4/2016,8/2/2017,1.07871321,16-17,MAIK02_1607-1708_MOSP,20,0.293867255,0.809484628,0.06324043,0.822390188,5.434101726,35,-4.085126969,3.290815255,0.333340423,35.86870598,2016,MAI_LAHAINA,15,0.003659867,Exists,2,0.073002765,-0.030901738,0.176907267,2,0.003970143,-0.00158006,0.009520346,Exists,SITE_AND_SEC,ENOUGH,ENOUGH,ENOUGH,ENOUGH_SITE_AND_SEC
1,FFS_OCC_002,MOSP,9/6/2013,9/25/2016,3.052703628,13-16,FFS002_1309-1609_MOSP,3,0.084290604,0.810223527,4.89E-05,0.999068999,-18.55983568,38,-3.233942477,0.918039029,0.022200546,24.52450932,2013,French Frigate,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,NOT,ENOUGH,NOT_ENOUGH,NOT_ENOUGH_NONE
5,FFS_OCC_002,POSP,9/6/2013,9/25/2016,3.052703628,13-16,FFS002_1309-1609_POSP,9,0.262062599,0.518354561,0.019530092,0.807398252,-6.143125549,164,-3.483960068,0.904438158,0.02316794,72.12852654,2013,French Frigate,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,NOT,ENOUGH,NOT_ENOUGH,NOT_ENOUGH_NONE
2,FFS_OCC_014,MOSP,9/6/2013,9/2/2016,2.98973306,13-16,FFS014_1309-1609_MOSP,6,0.13245258,0.917324918,0.00944433,0.951683646,-7.37957281,6,24.56606971,-2.71E-09,#NAME?,4,2013,French Frigate,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_NONE
10,HAW_OCC_002,POCS,8/15/2016,7/15/2019,2.913073238,16-19,HAW002_1608-1907_POCS,4,0.451723163,0.782244945,0.002744398,0.993734218,-9.013855045,15,-1.33402814,0.581860158,0.014962448,21.13714663,2016,HAW_HAMAKUA,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_NONE
18,HAW_SIO_K10,MOSP,4/15/2015,4/8/2017,1.98220397,15-17,HAWK10_1504-1704_MOSP,3,-0.273676984,1.163654976,0.008024173,0.958584017,-3.258095739,7,1.048345993,-1.090149737,0.048028182,13.10152978,2015,HAW_KONA,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_NONE
55,MAI_SIO_OL3,MOSP,7/22/2014,11/4/2015,1.28678987,14-15,MAIOL3_1407-1511_MOSP,4,0.081544139,0.963011753,0.266340825,0.436857225,9.287005566,4,23.56606889,-3.87E-10,#NAME?,4,2014,MAI_KIHEI,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_NONE
56,MAI_SIO_OL3,POCS,7/22/2014,7/14/2015,0.977412731,14-15,MAIOL3_1407-1507_POCS,11,-0.59243492,1.287419129,0.068981677,0.935079672,5.596212079,17,-1.147909488,1.256559778,0.137548657,23.03813394,2014,MAI_KIHEI,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_NONE
32,MAI_SIO_K01,POCS,7/21/2014,7/10/2015,0.969199179,14-15,MAIK01_1407-1507_POCS,4,0.9377435,0.588766476,0.00109417,0.977288089,-12.69211691,5,-4.620387657,3.478301552,0.113221614,8.437460536,2014,MAI_LAHAINA,NA,NA,First Interval,18,NA,NA,NA,18,NA,NA,NA,NoCover,NONE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_NONE
51,MAI_SIO_K02,POCS,7/21/2014,7/11/2015,0.971937029,14-15,MAIK02_1407-1507_POCS,3,0.296557951,0.888708371,0.010596726,0.949876197,-2.423836154,3,23.56606846,-8.73E-08,#NAME?,4,2014,MAI_LAHAINA,NA,NA,First Interval,18,NA,NA,NA,18,NA,NA,NA,NoCover,NONE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_NONE
74,PHR_OCC_016,POSP,9/11/2013,9/4/2019,5.979466119,13-19,PHR016_1309-1909_POSP,8,0.005406392,0.962766092,0.008963052,0.9876604,-11.31559613,8,24.56606971,-8.15E-10,#NAME?,4,2013,Pearl & Hermes,NA,NA,First Interval,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_NONE
