Island,Site,Genus,Year,Effort
MAI,OCC-MAI-002,POCS,2016,10.5
MAI,OCC-MAI-002,POCS,2019,12.5
MAI,OCC-MAI-002,POCS,2024,11
MAI,OCC-MAI-017,POSP,2014,100
MAI,OCC-MAI-017,POSP,2015,100
MAI,OCC-MAI-017,POSP,2016,100
MAI,OCC-MAI-017,POSP,2017,100
MAI,OCC-MAI-017,POSP,2024,100
MAI,OCC-MAI-017,MOSP,2014,5
MAI,OCC-MAI-017,MOSP,2015,5
MAI,OCC-MAI-017,MOSP,2016,5
MAI,OCC-MAI-017,MOSP,2017,5
MAI,OCC-MAI-017,MOSP,2024,5
MAI,OCC-MAI-017,POCS,2014,100
MAI,OCC-MAI-017,POCS,2015,100
MAI,OCC-MAI-017,POCS,2016,100
MAI,OCC-MAI-017,POCS,2017,100
MAI,OCC-MAI-017,POCS,2024,100
MAU,OCC-MAU-002,ACSP,2014,126.8
MAU,OCC-MAU-002,ACSP,2017,126.8
MAU,OCC-MAU-002,ACSP,2022,126.8
MAU,OCC-MAU-002,POSP,2014,12
MAU,OCC-MAU-002,POSP,2017,12
MAU,OCC-MAU-002,POSP,2022,12
MAU,OCC-MAU-002,MOSP,2014,12
MAU,OCC-MAU-002,MOSP,2017,12
MAU,OCC-MAU-002,MOSP,2022,12
MAU,OCC-MAU-002,POCS,2014,12
MAU,OCC-MAU-002,POCS,2017,12
MAU,OCC-MAU-002,POCS,2022,12
MAU,OCC-MAU-019,ACSP,2014,118
MAU,OCC-MAU-019,ACSP,2017,118
MAU,OCC-MAU-019,ACSP,2022,118
MAU,OCC-MAU-019,POSP,2014,118
MAU,OCC-MAU-019,POSP,2017,118
MAU,OCC-MAU-019,POSP,2022,118
MAU,OCC-MAU-019,MOSP,2014,12.5
MAU,OCC-MAU-019,MOSP,2017,12.5
MAU,OCC-MAU-019,MOSP,2022,12.5
MAU,OCC-MAU-019,POCS,2014,118
MAU,OCC-MAU-019,POCS,2017,118
MAU,OCC-MAU-019,POCS,2022,118
OAH,OCC-OAH-005,POSP,2016,5
OAH,OCC-OAH-005,POSP,2018,5
OAH,OCC-OAH-005,POSP,2024,5
OAH,OCC-OAH-005,MOSP,2016,5
OAH,OCC-OAH-005,MOSP,2018,5
OAH,OCC-OAH-005,MOSP,2024,5
OAH,OCC-OAH-005,POCS,2016,138
OAH,OCC-OAH-005,POCS,2018,138
OAH,OCC-OAH-005,POCS,2024,138
OAH,OCC-OAH-010,POSP,2016,5
OAH,OCC-OAH-010,POSP,2019,5
OAH,OCC-OAH-010,POSP,2024,5
OAH,OCC-OAH-010,MOSP,2016,9.5
OAH,OCC-OAH-010,MOSP,2019,9.5
OAH,OCC-OAH-010,MOSP,2024,9.5
OAH,OCC-OAH-010,POCS,2016,123
OAH,OCC-OAH-010,POCS,2019,123
OAH,OCC-OAH-010,POCS,2024,123
OFU,OCC-OFU-002,ACSP,2018,25.5
OFU,OCC-OFU-002,ACSP,2023,25.5
OFU,OCC-OFU-002,POCS,2018,25.5
OFU,OCC-OFU-002,POCS,2023,25.5
OFU,OCC-OFU-002,MOSP,2018,5
OFU,OCC-OFU-002,MOSP,2023,5
OFU,OCC-OFU-002,POSP,2018,12.5
OFU,OCC-OFU-002,POSP,2023,12.5
OFU,OCC-OFU-009,ACSP,2018,24.5
OFU,OCC-OFU-009,ACSP,2023,24.5
OFU,OCC-OFU-009,POCS,2018,117.2
OFU,OCC-OFU-009,POCS,2023,117.2
OFU,OCC-OFU-009,MOSP,2018,12.5
OFU,OCC-OFU-009,MOSP,2023,12.5
OFU,OCC-OFU-009,POSP,2018,12.5
OFU,OCC-OFU-009,POSP,2023,12.5
PAG,OCC-PAG-006,ACSP,2017,90.2
PAG,OCC-PAG-006,ACSP,2022,90.2
PAG,OCC-PAG-006,POSP,2017,90.2
PAG,OCC-PAG-006,POSP,2022,90.2
PAG,OCC-PAG-006,MOSP,2017,12.5
PAG,OCC-PAG-006,MOSP,2022,12.5
PAG,OCC-PAG-006,POCS,2017,12.5
PAG,OCC-PAG-006,POCS,2022,12.5
PAG,OCC-PAG-013,ACSP,2017,19
PAG,OCC-PAG-013,ACSP,2022,19
PAG,OCC-PAG-013,POSP,2017,19
PAG,OCC-PAG-013,POSP,2022,19
PAG,OCC-PAG-013,MOSP,2017,19
PAG,OCC-PAG-013,MOSP,2022,19
PAG,OCC-PAG-013,POCS,2017,19
PAG,OCC-PAG-013,POCS,2022,19
PHR,OCC-PHR-016,POSP,2016,3.5
PHR,OCC-PHR-016,POSP,2016,15.2
PHR,OCC-PHR-016,POSP,2019,12.5
PHR,OCC-PHR-016,POSP,2024,11
PHR,OCC-PHR-016,MOSP,2016,0
PHR,OCC-PHR-016,MOSP,2016,0
PHR,OCC-PHR-016,MOSP,2019,0
PHR,OCC-PHR-016,MOSP,2024,0
PHR,OCC-PHR-016,POCS,2016,0
PHR,OCC-PHR-016,POCS,2016,0
PHR,OCC-PHR-016,POCS,2019,0
PHR,OCC-PHR-016,POCS,2024,0
ROS,OCC-ROS-010,ACSP,2018,104.9
ROS,OCC-ROS-010,ACSP,2023,104.9
ROS,OCC-ROS-010,POCS,2018,12.5
ROS,OCC-ROS-010,POCS,2023,12.5
ROS,OCC-ROS-010,MOSP,2018,12.5
ROS,OCC-ROS-010,MOSP,2023,12.5
ROS,OCC-ROS-010,POSP,2018,12.5
ROS,OCC-ROS-010,POSP,2023,12.5
SAI,OCC-SAI-009,ACSP,2017,120.6
SAI,OCC-SAI-009,ACSP,2022,120.6
SAI,OCC-SAI-009,POSP,2017,12.5
SAI,OCC-SAI-009,POSP,2022,12.5
SAI,OCC-SAI-009,MOSP,2017,12.5
SAI,OCC-SAI-009,MOSP,2022,12.5
SAI,OCC-SAI-009,POCS,2017,12.5
SAI,OCC-SAI-009,POCS,2022,12.5
SAI,OCC-SAI-012,ACSP,2017,12.5
SAI,OCC-SAI-012,ACSP,2022,12.5
SAI,OCC-SAI-012,POSP,2017,12.5
SAI,OCC-SAI-012,POSP,2022,12.5
SAI,OCC-SAI-012,MOSP,2017,12.5
SAI,OCC-SAI-012,MOSP,2022,12.5
SAI,OCC-SAI-012,POCS,2017,12.5
SAI,OCC-SAI-012,POCS,2022,12.5
TAU,OCC-TAU-002,ACSP,2018,142.3
TAU,OCC-TAU-002,ACSP,2023,142.3
TAU,OCC-TAU-002,POCS,2018,12.5
TAU,OCC-TAU-002,POCS,2023,12.5
TAU,OCC-TAU-002,MOSP,2018,12.5
TAU,OCC-TAU-002,MOSP,2023,12.5
TAU,OCC-TAU-002,POSP,2018,12.5
TAU,OCC-TAU-002,POSP,2023,12.5
TAU,OCC-TAU-011,ACSP,2018,16.5
TAU,OCC-TAU-011,ACSP,2023,16.5
TAU,OCC-TAU-011,POCS,2018,16.5
TAU,OCC-TAU-011,POCS,2023,16.5
TAU,OCC-TAU-011,MOSP,2018,0
TAU,OCC-TAU-011,MOSP,2023,0
TAU,OCC-TAU-011,POSP,2018,16.5
TAU,OCC-TAU-011,POSP,2023,16.5
TUT,OCC-TUT-002,ACSP,2018,22
TUT,OCC-TUT-002,ACSP,2023,22
TUT,OCC-TUT-002,POCS,2018,22
TUT,OCC-TUT-002,POCS,2023,22
TUT,OCC-TUT-002,MOSP,2018,12.5
TUT,OCC-TUT-002,MOSP,2023,12.5
TUT,OCC-TUT-002,POSP,2018,12.5
TUT,OCC-TUT-002,POSP,2023,12.5
TUT,OCC-TUT-017,ACSP,2018,125.1
TUT,OCC-TUT-017,ACSP,2023,125.1
TUT,OCC-TUT-017,POCS,2018,13
TUT,OCC-TUT-017,POCS,2023,13
TUT,OCC-TUT-017,MOSP,2018,13
TUT,OCC-TUT-017,MOSP,2023,13
TUT,OCC-TUT-017,POSP,2018,13
TUT,OCC-TUT-017,POSP,2023,13
TUT,OCC-TUT-025,ACSP,2018,117.3
TUT,OCC-TUT-025,ACSP,2023,117.3
TUT,OCC-TUT-025,POCS,2018,117.3
TUT,OCC-TUT-025,POCS,2023,117.3
TUT,OCC-TUT-025,MOSP,2018,117.3
TUT,OCC-TUT-025,MOSP,2023,117.3
TUT,OCC-TUT-025,POSP,2018,117.3
TUT,OCC-TUT-025,POSP,2023,117.3
