"","Site","GENUS_CODE","StartingDate","EndingDate","Interval","Interval_Years","SIG","g.N","g.int","g.slp","g.var","g.R2","g.AIC","s.N","s.int","s.slp","s.pR2","s.AIC","StartingYear","SEC_NAME","N.Rec_Site","MN.RecVal_Site","N.RecVal_Sec","MN.RecVal_Sec","LOW_CI95.RecVal_Sec","HIGH_CI95.RecVal_Sec","N.RecVal_Sec_SSSS","MN.RecVal_Sec_SSSS","LOW_CI95.RecVal_Sec_SSSS","HIGH_CI95.RecVal_Sec_SSSS","ISLAND","REGION","MD.RecVal_Sec_All","MD.CI95_LO.RecVal_Sec_All","MD.CI95_HI.RecVal_Sec_All"
"11","OCC-BAK-008","POCS","2018-06-15","2023-03-18","18_23",4.75564681724846,"BAK-008_1806-2303_POCS",3,0.013355673769883,0.905227294933041,0.00930810347581191,0.974420197391485,-2.81281541698248,10,1.57318466265348,1.4555866071577,0.0586087327080144,15.5012463890978,2018,"Baker",NA,NA,10,0.0016091598360116,-0.00159239037500489,0.0048107100470281,10,0.000521986352783242,-8.51918185801318e-05,0.00112916452414662,"BAK","PRIAs",0.00339858936083299,-0.000370371210144398,0.00710029570595506
"12","OCC-BAK-008","MOSP","2018-06-15","2023-03-18","18_23",4.75564681724846,"BAK-008_1806-2303_MOSP",3,0.102903717070138,1.0177496578479,0.00575568910819667,0.988567227924627,-4.25490517636218,16,1.60968767834678,1.39467250061676,0.0810477235625053,18.1909040664665,2018,"Baker",8,0.00359478639374864,10,0.000742240897552222,-0.000728336328751007,0.00221281812385545,10,0.000521986352783242,-8.51918185801318e-05,0.00112916452414662,"BAK","PRIAs",0.000149175802125489,3.9273631554838e-05,0.000829462402923355
"13","OCC-GUA-015","POSP","2017-05-04","2022-06-15","17_22",5.11430527036276,"GUA-015_1705-2206_POSP",28,-0.0596029757635749,0.980096526559105,0.0163247316533074,0.855003938613243,-31.8365385293024,140,3.62824037089358,2.07134761611179,0.127563718087986,126.239384358397,2017,"GUA_TUMON_BAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GUA","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"14","OCC-GUA-015","POCS","2017-05-04","2022-06-15","17_22",5.11430527036276,"GUA-015_1705-2206_POCS",8,-0.95836868576295,0.558960937084478,0.000292247988854602,0.985059649705396,-38.7017027621654,72,-3.83140900156379,-0.657615466027501,0.00832360258477971,53.8137120796123,2017,"GUA_TUMON_BAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GUA","MARIAN",0.00961588971358806,0.000484025739609889,0.0179086110420565
"15","OCC-GUA-025","POSP","2017-05-03","2022-07-08","17_22",5.18001368925394,"GUA-025_1705-2207_POSP",164,-0.093848627984797,0.966746321925017,0.0100172450465198,0.98170440998029,-285.565791614186,250,4.23406877207029,1.32549623828991,0.173478699992176,269.996486621777,2017,"GUA_WEST_OPEN",NA,NA,11,0.00136231692688931,0.000165167961612492,0.00255946589216613,11,0.00389319879656144,0.00103665385296639,0.00674974374015649,"GUA","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"16","OCC-GUA-026","POSP","2017-05-03","2022-08-01","17_22",5.24572210814511,"GUA-026_1705-2208_POSP",96,-0.119156908216817,0.936601388378406,0.0175405947671666,0.954062693847247,-111.735717716445,282,6.13787858371061,2.74936257478928,0.376429280328828,229.547382947573,2017,"GUA_PITI_BOMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GUA","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"17","OCC-HOW-005","MOSP","2017-04-11","2018-06-08","17_18",1.15811088295688,"HOW-005_1704-1806_MOSP",24,-0.2095295712768,0.617349475966236,0.128794482899906,0.50720419238203,22.8318813254962,27,8.77058754443936,2.56909790747253,0.207324210657077,18.9315808737082,2017,"Howland",NA,NA,6,0,NA,NA,6,0.000930134710139985,-0.000764472268211867,0.00262474168849184,"HOW","PRIAs",0.000149175802125489,3.9273631554838e-05,0.000829462402923355
"18","OCC-HOW-005","ACSP","2017-04-11","2018-06-08","17_18",1.15811088295688,"HOW-005_1704-1806_ACSP",4,0.76411399432557,1.08584978198544,0.0932476534132162,0.796171272323806,5.0889340024201,4,23.5660688884264,-4.01482483972177e-10,-Inf,4.0000000004661,2017,"Howland",NA,NA,6,0.000305406633134469,-0.000316495824643177,0.000927309090912115,6,0.000930134710139985,-0.000764472268211867,0.00262474168849184,"HOW","PRIAs",0.000341200578759472,-0.000239436197267161,0.00110032201581345
"19","OCC-HOW-005","POSP","2017-04-11","2018-06-08","17_18",1.15811088295688,"HOW-005_1704-1806_POSP",18,0.0689186469649316,0.990746993014436,0.0393810767033202,0.925224436534222,-3.25876501231784,22,17.112643356341,6.07175712613217,0.5775151826729,12.8139330868528,2017,"Howland",NA,NA,6,0.00300793810686828,-0.00267225983179579,0.00868813604553234,6,0.000930134710139985,-0.000764472268211867,0.00262474168849184,"HOW","PRIAs",0.000242182597547958,2.12063872124177e-05,0.001635516086756
"20","OCC-HOW-005","MOSP","2018-06-08","2023-03-16","18_23",4.76933607118412,"HOW-005_1806-2303_MOSP",32,0.0318820261364555,0.94347429654063,0.00659707949536899,0.983776367051022,-65.9292698659833,40,2.95043403372141,0.742639973574589,0.0429345113371191,42.3134312009333,2018,"Howland",16,0.00364095591145777,9,1.84898680166856e-05,-1.75353758936485e-05,5.45151119270197e-05,9,0.000347425382803986,5.98316509572946e-05,0.000635019114650678,"HOW","PRIAs",0.000149175802125489,3.9273631554838e-05,0.000829462402923355
"21","OCC-HOW-005","ACSP","2018-06-08","2023-03-16","18_23",4.76933607118412,"HOW-005_1806-2303_ACSP",5,0.150432450806599,1.03525201150658,0.00147856292361204,0.996312921011002,-14.9481660892285,5,24.566069704227,-2.40254498171977e-09,-Inf,4.00000000021433,2018,"Howland",1,0.00717823123052606,9,0.000341200578759472,-0.000255762936481263,0.000938164094000208,9,0.000347425382803986,5.98316509572946e-05,0.000635019114650678,"HOW","PRIAs",0.000341200578759472,-0.000239436197267161,0.00110032201581345
"22","OCC-HOW-005","POSP","2018-06-08","2023-03-16","18_23",4.76933607118412,"HOW-005_1806-2303_POSP",13,-0.0573567847324849,0.919403187908019,0.00725610202966926,0.98811681773636,-23.3161638003155,23,5.62763647767259,2.53333486664965,0.365887713756047,23.9696852833549,2018,"Howland",5,0.000624488065841842,9,0.000100009619060945,-2.489921889071e-05,0.000224918457012599,9,0.000347425382803986,5.98316509572946e-05,0.000635019114650678,"HOW","PRIAs",0.000242182597547958,2.12063872124177e-05,0.001635516086756
"23","OCC-MAU-002","POSP","2017-06-05","2022-06-24","17_22",5.05133470225873,"MAU-002_1706-2206_POSP",78,0.0280626754797199,0.969075027550464,0.00240266495055318,0.997010573273332,-245.10346416418,84,17.6173496615673,5.0378991918373,0.604612402888852,21.0924206280575,2017,"Maug",7,1.83824083758729e-05,27,0.0015191869898438,0.00065772023051675,0.00238065374917084,27,0.00805299013448785,0.00440372323909857,0.0117022570298771,"MAU","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"24","OCC-MAU-002","POCS","2017-06-05","2022-06-24","17_22",5.05133470225873,"MAU-002_1706-2206_POCS",8,0.199478535626583,0.941213192209975,0.00553852545781729,0.951620088256023,-15.1666558603349,16,10.5790077436786,3.04222773484644,0.0461164090175418,25.1578150935004,2017,"Maug",8,0.000577312345684492,27,0.00608929585054117,0.000345488515715554,0.0118331031853668,27,0.00805299013448785,0.00440372323909857,0.0117022570298771,"MAU","MARIAN",0.00961588971358806,0.000484025739609889,0.0179086110420565
"25","OCC-MAU-002","ACSP","2017-06-05","2022-06-24","17_22",5.05133470225873,"MAU-002_1706-2206_ACSP",10,0.0217720381642225,0.91488801709922,0.00163141306128025,0.982767397190312,-32.0357521585581,12,247.531148318764,71.0816545886246,0.999999999977461,4.00000000024373,2017,"Maug",5,0.000119667010752433,27,0.00206237740721254,-0.000386502161732587,0.00451125697615767,27,0.00805299013448785,0.00440372323909857,0.0117022570298771,"MAU","MARIAN",0.00350001456585141,-0.000584392038409588,0.00823958641219241
"26","OCC-MAU-002","POSP","2014-05-18","2017-06-05","14_17",3.04996577686516,"MAU-002_1405-1706_POSP",35,-0.225540173690703,0.897770664663289,0.0369611590379127,0.953607416999723,-12.1597887472067,76,5.92673837231002,2.69419670379723,0.551687562913245,51.0208886013848,2014,"Maug",NA,NA,19,0.0010638280266066,0.000219475460014776,0.00190818059319842,19,0.00156555817196402,0.00104779424266402,0.00208332210126401,"MAU","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"27","OCC-MAU-019","POCS","2017-06-13","2022-06-26","17_22",5.03490759753593,"MAU-019_1706-2206_POCS",4,-3.23050625763028,-0.346773105481416,5.93427164114317e-32,1,-273.02899516827,6,443.283832427453,144.514159359151,0.999999999951276,4.00000000037216,2017,"Maug",3,0.000122457478981449,27,0.00608929585054117,0.000345488515715554,0.0118331031853668,27,0.00805299013448785,0.00440372323909857,0.0117022570298771,"MAU","MARIAN",0.00961588971358806,0.000484025739609889,0.0179086110420565
"28","OCC-MAU-019","POSP","2017-06-13","2022-06-26","17_22",5.03490759753593,"MAU-019_1706-2206_POSP",20,0.0255944867034633,0.987587070107452,0.00583348774779556,0.995274209442714,-42.2324733053789,28,17.9019191996615,6.00964294296449,0.719131709829297,13.409957558796,2017,"Maug",4,2.044814061225e-05,27,0.0015191869898438,0.00065772023051675,0.00238065374917084,27,0.00805299013448785,0.00440372323909857,0.0117022570298771,"MAU","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"29","OCC-MAU-019","ACSP","2017-06-13","2022-06-26","17_22",5.03490759753593,"MAU-019_1706-2206_ACSP",6,-0.794078744026832,0.660711115616992,0.00197724916228725,0.98536753917604,-16.761820523636,14,24.5808445991129,8.96832350933241,0.451443021418422,14.4891921837742,2017,"Maug",7,0.000151212769333366,27,0.00206237740721254,-0.000386502161732587,0.00451125697615767,27,0.00805299013448785,0.00440372323909857,0.0117022570298771,"MAU","MARIAN",0.00350001456585141,-0.000584392038409588,0.00823958641219241
"30","OCC-MAU-019","POSP","2014-05-06","2017-06-13","14_17",3.1047227926078,"MAU-019_1405-1706_POSP",10,-0.018318479699043,0.899717402993473,0.0125771963532649,0.991210902036716,-11.6113640285313,24,2.65078746866603,1.30241749016407,0.364990637827815,24.7021159661883,2014,"Maug",NA,NA,19,0.0010638280266066,0.000219475460014776,0.00190818059319842,19,0.00156555817196402,0.00104779424266402,0.00208332210126401,"MAU","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"31","OCC-OFU-002","POCS","2018-07-09","2023-07-29","18_23",5.05407255304586,"OFU-002_1807-2307_POCS",12,-0.262480297653204,0.809703882063197,0.0119317674265988,0.928722395006975,-15.2759447336784,25,2.70095645391396,1.43135476598915,0.0480706316137915,36.9532705543027,2018,"Ofu & Olosega",NA,NA,18,0.00159682244205944,0.000561605244757242,0.00263203963936164,18,0.00153793052554336,0.000966429299385739,0.00210943175170098,"OFU","SAMOA",0.00159682244205944,0.00029462216167485,0.00326339797953388
"32","OCC-OFU-002","MOSP","2018-07-09","2023-07-29","18_23",5.05407255304586,"OFU-002_1807-2307_MOSP",39,-0.0804839565266319,0.930817651311061,0.00927401740087236,0.973057388200674,-67.9169060675592,79,5.98564710633128,2.26965336461896,0.264189648752006,84.5746152184825,2018,"Ofu & Olosega",NA,NA,18,0.00224473145165514,0.00126166511649877,0.00322779778681151,18,0.00153793052554336,0.000966429299385739,0.00210943175170098,"OFU","SAMOA",0.00149220883807385,0.000488587551288457,0.0022411854268149
"33","OCC-OFU-002","ACSP","2018-07-09","2023-07-29","18_23",5.05407255304586,"OFU-002_1807-2307_ACSP",11,-0.0466359832273252,0.892487969630467,0.00459032881433805,0.974739062337739,-24.2125697435938,35,0.0969121042890168,0.353156879418551,0.00540937987844514,47.3383756703696,2018,"Ofu & Olosega",NA,NA,18,0.00166431895984322,0.000103603477307006,0.00322503444237943,18,0.00153793052554336,0.000966429299385739,0.00210943175170098,"OFU","SAMOA",0.000508243438785936,-0.000218384722100087,0.00223074218147832
"34","OCC-OFU-002","POSP","2018-07-09","2023-07-29","18_23",5.05407255304586,"OFU-002_1807-2307_POSP",7,-0.0514926208875902,0.958487508455213,0.00337618782158432,0.993596012055381,-16.327222677566,10,14.9665812980534,5.25440250148193,0.375414613899477,11.6307383190796,2018,"Ofu & Olosega",NA,NA,18,0.000351742244151666,8.79784531402154e-05,0.000615506035163117,18,0.00153793052554336,0.000966429299385739,0.00210943175170098,"OFU","SAMOA",0.000402705884515142,8.79784531402154e-05,0.000737720602513663
"35","OCC-OFU-009","POCS","2018-07-10","2023-07-22","18_23",5.0321697467488,"OFU-009_1807-2307_POCS",36,-0.00519458299771447,0.946159742106298,0.0052087437718092,0.97379558698396,-83.1611250615326,48,5.80087024620026,2.26261628682109,0.163196668245057,49.174136567672,2018,"Ofu & Olosega",NA,NA,18,0.00159682244205944,0.000561605244757242,0.00263203963936164,18,0.00153793052554336,0.000966429299385739,0.00210943175170098,"OFU","SAMOA",0.00159682244205944,0.00029462216167485,0.00326339797953388
"36","OCC-OFU-009","ACSP","2018-07-10","2023-07-22","18_23",5.0321697467488,"OFU-009_1807-2307_ACSP",31,-0.0501403858165154,0.890715814856908,0.00564496850557601,0.963294502124661,-68.5799540283687,47,6.94304358340649,2.67507939640334,0.18527663750281,53.1146436805086,2018,"Ofu & Olosega",NA,NA,18,0.00166431895984322,0.000103603477307006,0.00322503444237943,18,0.00153793052554336,0.000966429299385739,0.00210943175170098,"OFU","SAMOA",0.000508243438785936,-0.000218384722100087,0.00223074218147832
"37","OCC-OFU-009","POSP","2018-07-10","2023-07-22","18_23",5.0321697467488,"OFU-009_1807-2307_POSP",17,-0.22220045837518,0.90697088333437,0.00750013133150259,0.956464553865357,-31.0620540126042,44,3.26979586792237,1.29558259618577,0.034424382083086,60.6833860206241,2018,"Ofu & Olosega",NA,NA,18,0.000351742244151666,8.79784531402154e-05,0.000615506035163117,18,0.00153793052554336,0.000966429299385739,0.00210943175170098,"OFU","SAMOA",0.000402705884515142,8.79784531402154e-05,0.000737720602513663
"38","OCC-OFU-009","MOSP","2018-07-10","2023-07-22","18_23",5.0321697467488,"OFU-009_1807-2307_MOSP",20,-0.193724705926697,0.90616724841795,0.0110498788234436,0.966943187345522,-29.4563853306236,57,5.17430457179026,2.54265118696087,0.208375901165229,62.4777693646405,2018,"Ofu & Olosega",NA,NA,18,0.00224473145165514,0.00126166511649877,0.00322779778681151,18,0.00153793052554336,0.000966429299385739,0.00210943175170098,"OFU","SAMOA",0.00149220883807385,0.000488587551288457,0.0022411854268149
"39","OCC-PAG-006","POSP","2017-05-31","2022-08-06","17_22",5.18275154004107,"PAG-006_1705-2208_POSP",148,-0.125353076305171,0.93769384941551,0.00890876675624724,0.965646758476412,-274.674310500332,268,3.80596255233719,1.2016779432466,0.0613628456653228,349.978060343951,2017,"Pagan",NA,NA,19,0.00320174895392538,0.00146103657552481,0.00494246133232595,19,0.0120539419820157,0.00813933508777649,0.0159685488762549,"PAG","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"40","OCC-PAG-006","ACSP","2017-05-31","2022-08-06","17_22",5.18275154004107,"PAG-006_1705-2208_ACSP",14,0.0302721162904623,0.933302350519319,0.0346955963152115,0.929483909528415,-3.48382569180568,38,-0.739507734583863,-0.0794866619314435,0.000346264942438168,53.9990401415881,2017,"Pagan",NA,NA,19,0.00200130811407432,-0.000434299041277932,0.00443691526942657,19,0.0120539419820157,0.00813933508777649,0.0159685488762549,"PAG","MARIAN",0.00350001456585141,-0.000584392038409588,0.00823958641219241
"41","OCC-PAG-013","POSP","2017-06-16","2022-08-06","17_22",5.13894592744695,"PAG-013_1706-2208_POSP",68,-0.0360955736637659,0.977031734671897,0.0070710477639268,0.981329586013139,-139.773130558899,114,8.95616228067469,2.83052703233189,0.287340079352176,113.582287999035,2017,"Pagan",NA,NA,19,0.00320174895392538,0.00146103657552481,0.00494246133232595,19,0.0120539419820157,0.00813933508777649,0.0159685488762549,"PAG","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"42","OCC-ROS-010","POCS","2018-07-17","2023-07-31","18_23",5.03764544832307,"ROS-010_1807-2307_POCS",22,0.04250162768275,0.924575891402754,0.0119130054946462,0.961756367048145,-31.1262691872356,31,1.78421262402214,0.422629986889229,0.0117657366544018,40.9118308218447,2018,"ROS_SANCTUARY",NA,NA,14,0.00264884246010099,0.00140292860049586,0.00389475631970611,14,0.00229832358919564,0.00131664762782583,0.00327999955056545,"ROS","SAMOA",0.00159682244205944,0.00029462216167485,0.00326339797953388
"43","OCC-ROS-010","MOSP","2018-07-17","2023-07-31","18_23",5.03764544832307,"ROS-010_1807-2307_MOSP",15,-0.127637791075868,0.940369965770707,0.00409936654278381,0.99205357555309,-36.0321989429981,38,2.94117186986285,1.48662815173574,0.199287218161267,44.8221858020812,2018,"ROS_SANCTUARY",NA,NA,14,0.00149220883807385,0.000743232249332806,0.0022411854268149,14,0.00229832358919564,0.00131664762782583,0.00327999955056545,"ROS","SAMOA",0.00149220883807385,0.000488587551288457,0.0022411854268149
"44","OCC-ROS-010","POSP","2018-07-17","2023-07-31","18_23",5.03764544832307,"ROS-010_1807-2307_POSP",7,-0.144159033601172,0.946016449934432,0.0338386993889132,0.898726112703328,-0.193217445298532,10,15.5646506450437,4.71122249333944,0.438420314478718,10.8609796528833,2018,"ROS_SANCTUARY",NA,NA,14,0.00307850723414569,0.000307679093189125,0.00584933537510225,14,0.00229832358919564,0.00131664762782583,0.00327999955056545,"ROS","SAMOA",0.000402705884515142,8.79784531402154e-05,0.000737720602513663
"45","OCC-SAI-009","POSP","2017-06-18","2022-04-21","17_22",4.84052019164956,"SAI-009_1706-2204_POSP",46,-0.154723687939279,0.92309443988976,0.0262165668987455,0.895950052595823,-33.0051682321709,478,0.716524646088336,1.26455404731353,0.0654098761052399,286.98748153733,2017,"Saipan",NA,NA,22,0.00232206020803119,0.00104587600703868,0.0035982444090237,22,0.0082425676434416,0.00547731494003964,0.0110078203468436,"SAI","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"46","OCC-SAI-012","POSP","2017-04-22","2022-04-22","17_22",4.99931553730322,"SAI-012_1704-2204_POSP",82,-0.00684378323907257,0.954202147913355,0.00784767681003798,0.986646527959043,-160.816969364743,144,3.22335200146026,0.981460441579116,0.0877592263724618,183.565118089573,2017,"Saipan",NA,NA,22,0.00232206020803119,0.00104587600703868,0.0035982444090237,22,0.0082425676434416,0.00547731494003964,0.0110078203468436,"SAI","MARIAN",0.00222450883112625,0.000633534391346495,0.00359558788486146
"47","OCC-SAI-012","ACSP","2017-04-22","2022-04-22","17_22",4.99931553730322,"SAI-012_1704-2204_ACSP",4,0.315305403470541,0.976389517076153,8.16594296420188e-32,1,-271.75208352653,126,-1.91049628901544,0.594417264728913,0.00775140979486455,39.1965962219924,2017,"Saipan",NA,NA,22,0.00415215686144878,0.00212778698082722,0.00617652674207034,22,0.0082425676434416,0.00547731494003964,0.0110078203468436,"SAI","MARIAN",0.00350001456585141,-0.000584392038409588,0.00823958641219241
"48","OCC-TAU-002","MOSP","2018-07-12","2023-08-01","18_23",5.05407255304586,"TAU-002_1807-2308_MOSP",81,-0.165956704479593,0.911593765785146,0.0105170842514108,0.972419377766861,-135.092159172192,144,4.93713682071014,1.83340847338448,0.199009577069363,162.091873617302,2018,"TAU_OPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAU","SAMOA",0.00149220883807385,0.000488587551288457,0.0022411854268149
"49","OCC-TAU-002","ACSP","2018-07-12","2023-08-01","18_23",5.05407255304586,"TAU-002_1807-2308_ACSP",74,-0.28196217047953,0.810714461235895,0.00491946616546148,0.969537987332159,-179.301710217292,184,-1.99196850866931,-0.568815230936963,0.0102989974301618,249.435005999219,2018,"TAU_OPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAU","SAMOA",0.000508243438785936,-0.000218384722100087,0.00223074218147832
"50","OCC-TAU-002","POSP","2018-07-12","2023-08-01","18_23",5.05407255304586,"TAU-002_1807-2308_POSP",15,-0.108201686133506,0.960701428776053,0.0160314415121317,0.983719581869566,-15.5764075160689,43,0.365527311323987,0.413256037354,0.0253828185499466,58.2065033647683,2018,"TAU_OPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAU","SAMOA",0.000402705884515142,8.79784531402154e-05,0.000737720602513663
"51","OCC-TAU-002","POCS","2018-07-12","2023-08-01","18_23",5.05407255304586,"TAU-002_1807-2308_POCS",4,-0.485164901947548,0.754181304727259,0.00884326548720121,0.979949434878361,-4.33347674275815,14,-3.46865326382149,-1.11189744306851,0.0715000664452945,19.5538116509779,2018,"TAU_OPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAU","SAMOA",0.00159682244205944,0.00029462216167485,0.00326339797953388
"52","OCC-TUT-002","POCS","2018-06-29","2023-07-08","18_23",5.02395619438741,"TUT-002_1806-2307_POCS",12,-0.18127149347132,0.809675183300364,0.00554988715070875,0.95837936678801,-24.4610661002491,33,6.98969994443952,3.76247091533492,0.393361255532742,30.244282262487,2018,"TUT_NE_OPEN",NA,NA,9,0.000764861665006772,2.76390785924575e-05,0.00150208425142109,9,0.000912674569954592,0.000456696942712897,0.00136865219719629,"TUT","SAMOA",0.00159682244205944,0.00029462216167485,0.00326339797953388
"53","OCC-TUT-002","MOSP","2018-06-29","2023-07-08","18_23",5.02395619438741,"TUT-002_1806-2307_MOSP",38,-0.190946286990532,0.874078236209521,0.00998739593115145,0.944955429602502,-63.2596186231587,103,1.44585434789391,0.885935551941365,0.0310702812223775,135.413300669917,2018,"TUT_NE_OPEN",NA,NA,9,0.00109384792384446,0.000488587551288457,0.00169910829640047,9,0.000912674569954592,0.000456696942712897,0.00136865219719629,"TUT","SAMOA",0.00149220883807385,0.000488587551288457,0.0022411854268149
