"Site","Longitude","Latitude","GENUS_CODE","Interval","StartingDate","EndingDate","Lambda"
"MAI_SIO_OL3",-156.6,20.805,"POSP","15-16","2015-11-04","2016-06-16",0.770834121828573
"MAI_SIO_OL3",-156.6,20.805,"POSP","16-16","2016-06-16","2016-11-29",0.990974209951298
"MAI_SIO_OL3",-156.6,20.805,"POSP","16-17","2016-11-29","2017-07-26",0.898191724614084
"OCC-OFU-009",-169.652024,-14.180607,"ACSP","18_23","2018-07-10","2023-07-22",1.01793427907149
"OCC-OFU-009",-169.652024,-14.180607,"MOSP","18_23","2018-07-10","2023-07-22",0.576625405879751
"OCC-OFU-009",-169.652024,-14.180607,"POCS","18_23","2018-07-10","2023-07-22",0.963772739623959
"OCC-OFU-009",-169.652024,-14.180607,"POSP","18_23","2018-07-10","2023-07-22",0.55115705188184
"OCC-ROS-010",-168.168774,-14.548706,"MOSP","18_23","2018-07-17","2023-07-31",0.394198275277561
"OCC-ROS-010",-168.168774,-14.548706,"POCS","18_23","2018-07-17","2023-07-31",0.80502947882952
"OCC-ROS-010",-168.168774,-14.548706,"POSP","18_23","2018-07-17","2023-07-31",0.946534342247777
"MAI_SIO_K02",-156.69383,20.93884,"MOSP","14-15","2014-07-21","2015-07-11",0.865600419837863
"MAI_SIO_K02",-156.69383,20.93884,"MOSP","15-16","2015-07-11","2016-07-04",0.969175235598621
"MAI_SIO_K02",-156.69383,20.93884,"MOSP","16-17","2016-07-04","2017-08-02",0.823714690217206
"MAI_SIO_K02",-156.69383,20.93884,"MOSP","17-18","2017-08-02","2018-09-14",0.707771248604799
"MAI_SIO_K02",-156.69383,20.93884,"POSP","14-15","2014-07-21","2015-07-11",0.958389858056818
"MAI_SIO_K02",-156.69383,20.93884,"POSP","15-16","2015-07-11","2016-07-04",0.750481770218428
"MAI_SIO_K02",-156.69383,20.93884,"POSP","16-17","2016-07-04","2017-08-02",0.973787472013277
"MAI_SIO_K02",-156.69383,20.93884,"POSP","17-18","2017-08-02","2018-09-14",0.855120370286982
"OCC-OFU-002",-169.674219,-14.157622,"ACSP","18_23","2018-07-09","2023-07-29",0.432025253096505
"OCC-OFU-002",-169.674219,-14.157622,"MOSP","18_23","2018-07-09","2023-07-29",0.954312934857828
"OCC-OFU-002",-169.674219,-14.157622,"POCS","18_23","2018-07-09","2023-07-29",0.54635252479224
"OCC-OFU-002",-169.674219,-14.157622,"POSP","18_23","2018-07-09","2023-07-29",0.898670705904588
"OCC-TUT-002",-170.66008,-14.24475,"ACSP","18_23","2018-06-29","2023-07-08",0.699926962838031
"OCC-TUT-002",-170.66008,-14.24475,"MOSP","18_23","2018-06-29","2023-07-08",0.514494279429378
"OCC-TUT-002",-170.66008,-14.24475,"POCS","18_23","2018-06-29","2023-07-08",0.813686940531368
"OCC-TUT-002",-170.66008,-14.24475,"POSP","18_23","2018-06-29","2023-07-08",0.387918239775104
"FFS_OCC_002",-166.29106,23.878152,"POSP","13-16","2013-09-06","2016-09-25",0.050793717614592
